work_id,year,conference,ni,nj,cd_5
W2787222284,2018,S&P,3,44,-0.8723404255319149
W2876796450,2018,SIGCOMM,22,61,-0.46987951807228917
W2799048248,2018,SIGIR,19,65,-0.5476190476190477
W4252400026,2018,SIGMETRICS,4,39,-0.813953488372093
W2798891709,2018,SIGMOD,7,99,-0.8679245283018868
W2793481095,2018,SODA,8,42,-0.68
W2974337481,2018,SODA,3,6,-0.3333333333333333
W2745594004,2018,STOC,9,9,0.0
W2896381102,2018,UIST,10,29,-0.48717948717948717
W2896806675,2018,UIST,11,2,0.6923076923076923
W2897456565,2018,UIST,3,52,-0.8909090909090909
W2802609531,2018,VLDB,59,141,-0.41
W2788150400,2018,WWW,4,18,-0.6363636363636364
W2521461771,2017,AAAI,16,17,-0.030303030303030304
W2611715906,2017,ACL,4,4,0.0
W2610214088,2017,CHI,7,50,-0.7543859649122807
W4300093098,2017,CHI,11,25,-0.3888888888888889
W2594859391,2017,CHI,3,12,-0.6
W2591131751,2017,CHI,4,28,-0.75
W2611348597,2017,CHI,9,7,0.125
W2767327746,2017,CHI,51,149,-0.49
W2778244123,2017,CHI,22,8,0.4666666666666667
W2611579020,2017,CHI,68,105,-0.2138728323699422
W2610339637,2017,CHI,53,127,-0.4111111111111111
W2611586694,2017,CHI,48,31,0.21518987341772153
W2611667142,2017,CHI,10,30,-0.5
W2610215278,2017,CHI,24,111,-0.6444444444444445
W2611474773,2017,CHI,35,56,-0.23076923076923078
W2610874624,2017,CHI,8,8,0.0
W2611632447,2017,CHI,11,27,-0.42105263157894735
W2610281177,2017,CHI,26,98,-0.5806451612903226
W2610874523,2017,CHI,10,45,-0.6363636363636364
W2610929834,2017,CHI,26,72,-0.46938775510204084
W2558581619,2017,CHI,16,19,-0.08571428571428572
W2610414453,2017,CHI,12,74,-0.7209302325581395
W2610850748,2017,CHI,10,32,-0.5238095238095238
W2603410158,2017,CHI,28,172,-0.72
W2767692092,2017,CIKM,11,25,-0.3888888888888889
W2963446712,2017,CVPR,10,190,-0.9
W2567101557,2017,CVPR,51,120,-0.40350877192982454
W2605041732,2017,FOCS,5,32,-0.7297297297297297
W2606192553,2017,FOCS,0,35,-1.0
W2606089246,2017,FOCS,1,10,-0.8181818181818182
W2741400146,2017,FSE,3,23,-0.7692307692307693
W2741643261,2017,FSE,9,24,-0.45454545454545453
W2740295334,2017,FSE,26,101,-0.5905511811023622
W2739010619,2017,FSE,2,6,-0.5
W2730550703,2017,FSE,51,149,-0.49
W2741221537,2017,FSE,3,7,-0.4
W2741422284,2017,FSE,9,34,-0.5813953488372093
W2963150697,2017,ICCV,7,193,-0.93
W2597603852,2017,ICML,92,108,-0.08
W2620436109,2017,ICSE,1,40,-0.9512195121951219
W2620457578,2017,ICSE,24,65,-0.4606741573033708
W2616911398,2017,ICSE,8,28,-0.5555555555555556
W2616911396,2017,ICSE,17,82,-0.6565656565656566
W2617348763,2017,ICSE,24,47,-0.323943661971831
W2590575400,2017,ICSE,1,25,-0.9230769230769231
W2620074062,2017,IJCAI,1,0,1.0
W2761021290,2017,INFOCOM,25,55,-0.375
W2645731340,2017,KDD,20,20,0.0
W2763753824,2017,MOBICOM,25,144,-0.7041420118343196
W2612780607,2017,NeurIPS,12,36,-0.5
W2944407464,2017,NeurIPS,108,0,1.0
W2962812035,2017,NeurIPS,32,0,1.0
W2605250808,2017,NSDI,7,41,-0.7083333333333334
W2731280337,2017,PLDI,5,14,-0.47368421052631576
W2626631502,2017,PLDI,2,99,-0.9603960396039604
W2562114628,2017,PLDI,2,18,-0.8
W2625141509,2017,PLDI,139,61,0.39
W2606293658,2017,PODS,0,17,-1.0
W2618267215,2017,S&P,0,114,-1.0
W2744387122,2017,SIGCOMM,25,175,-0.75
W2743093301,2017,SIGCOMM,23,156,-0.7430167597765364
W2970128991,2017,SIGIR,0,0,
W2576238278,2017,SIGMETRICS,0,12,-1.0
W2613088476,2017,SIGMOD,6,65,-0.8309859154929577
W2570172216,2017,SODA,16,0,1.0
W2760356198,2017,SOSP,0,17,-1.0
W2909865272,2017,SOSP,10,1,0.8181818181818182
W2604773616,2017,STOC,0,0,
W2586521831,2017,STOC,25,113,-0.6376811594202898
W2625145881,2017,STOC,3,7,-0.4
W2765855860,2017,UIST,5,7,-0.16666666666666666
W2766544714,2017,UIST,25,119,-0.6527777777777778
W2739069594,2017,UIST,12,31,-0.4418604651162791
W2583856578,2017,VLDB,2,24,-0.8461538461538461
W2555956881,2016,AAAI,0,1,-1.0
W2515120005,2016,ACL,3,15,-0.6666666666666666
W2407293509,2016,CHI,33,17,0.32
W2225313775,2016,CHI,5,21,-0.6153846153846154
W2395063354,2016,CHI,9,17,-0.3076923076923077
W2400260714,2016,CHI,17,13,0.13333333333333333
W2402642969,2016,CHI,16,47,-0.49206349206349204
W2405564622,2016,CHI,76,116,-0.20833333333333334
W2582468434,2016,CHI,0,0,
W2351491323,2016,CHI,15,46,-0.5081967213114754
W2346915687,2016,CHI,15,22,-0.1891891891891892
W2396575601,2016,CHI,44,40,0.047619047619047616
W2339558352,2016,CHI,25,9,0.47058823529411764
W2395423607,2016,CHI,5,19,-0.5833333333333334
W4289875163,2016,CHI,23,18,0.12195121951219512
W2408438722,2016,CHI,15,38,-0.4339622641509434
W2406854312,2016,CHI,7,15,-0.36363636363636365
W2402939184,2016,CHI,30,50,-0.25
W2400074865,2016,CHI,7,39,-0.6956521739130435
W2396533648,2016,CHI,18,30,-0.25
W2394670422,2016,CHI,53,15,0.5588235294117647
W2400341429,2016,CHI,5,23,-0.6428571428571429
W2396662988,2016,CHI,5,26,-0.6774193548387096
W2273847690,2016,CHI,83,112,-0.14871794871794872
W2398012670,2016,CHI,9,48,-0.6842105263157895
W2537475616,2016,CIKM,18,38,-0.35714285714285715
W2194775991,2016,CVPR,17,183,-0.83
W2430369560,2016,FOCS,5,36,-0.7560975609756098
W2903586563,2016,FOCS,2,7,-0.5555555555555556
W2548627465,2016,FSE,24,87,-0.5675675675675675
W2547900581,2016,FSE,1,19,-0.9
W2546949415,2016,FSE,9,31,-0.55
W2546851909,2016,FSE,0,22,-1.0
W2547471548,2016,FSE,5,11,-0.375
W2546918856,2016,FSE,2,28,-0.8666666666666667
W2476494490,2016,FSE,12,135,-0.8367346938775511
W2556958149,2016,ICML,10,190,-0.9
W2953318193,2016,ICML,58,142,-0.42
W2949816416,2016,ICML,4,16,-0.6
W1927112189,2016,ICSE,0,15,-1.0
W2344496621,2016,ICSE,10,79,-0.7752808988764045
W2393286498,2016,ICSE,5,9,-0.2857142857142857
W2387719207,2016,ICSE,35,165,-0.65
W2294434616,2016,ICSE,4,49,-0.8490566037735849
W2367183013,2016,ICSE,0,12,-1.0
W2381207137,2016,ICSE,0,7,-1.0
W2374182234,2016,ICSE,0,4,-1.0
W2144160189,2016,ICSE,12,188,-0.88
W2552810632,2016,IJCAI,22,178,-0.78
W2492150193,2016,INFOCOM,0,41,-1.0
W2348679751,2016,KDD,37,117,-0.5194805194805194
W2491263806,2016,NeurIPS,5,2,0.42857142857142855
W2583834843,2016,NSDI,11,40,-0.5686274509803921
W2576393274,2016,OSDI,2,44,-0.9130434782608695
W2414762192,2016,PLDI,9,56,-0.7230769230769231
W2413028252,2016,PLDI,1,38,-0.9487179487179487
W2386500332,2016,PLDI,6,11,-0.29411764705882354
W2408975894,2016,PLDI,2,5,-0.42857142857142855
W2963560792,2016,PODS,21,82,-0.5922330097087378
W2511192821,2016,S&P,0,160,-1.0
W2989358216,2016,SIGCOMM,1,2,-0.3333333333333333
W2488265751,2016,SIGCOMM,33,55,-0.25
W2950280161,2016,SIGCOMM,1,5,-0.6666666666666666
W2340380384,2016,SIGIR,9,20,-0.3793103448275862
W2339552468,2016,SIGMETRICS,0,5,-1.0
W2421547754,2016,SIGMOD,13,75,-0.7045454545454546
W2953390354,2016,SODA,6,49,-0.7818181818181819
W3163127969,2016,SODA,1,4,-0.6
W2963024133,2016,STOC,3,28,-0.8064516129032258
W2397754814,2016,STOC,2,11,-0.6923076923076923
W2409645877,2016,STOC,191,9,0.91
W2537074996,2016,UIST,22,18,0.1
W2533619018,2016,UIST,31,93,-0.5
W2539017927,2016,UIST,22,21,0.023255813953488372
W2538172027,2016,UIST,41,108,-0.44966442953020136
W4234138276,2016,VLDB,4,9,-0.38461538461538464
W2262364653,2016,WWW,13,22,-0.2571428571428571
W2211594368,2015,AAAI,3,34,-0.8378378378378378
W2137231986,2015,ACL,2,6,-0.5
W2251557434,2015,ACL,12,21,-0.2727272727272727
W1974329625,2015,CHI,18,49,-0.4626865671641791
W2077940530,2015,CHI,6,53,-0.7966101694915254
W2171022339,2015,CHI,9,65,-0.7567567567567568
W1993143504,2015,CHI,16,18,-0.058823529411764705
W2169549255,2015,CHI,42,33,0.12
W2114469472,2015,CHI,12,52,-0.625
W2171206549,2015,CHI,26,53,-0.34177215189873417
W2071865879,2015,CHI,7,21,-0.5
W2162482411,2015,CHI,6,32,-0.6842105263157895
W1972988737,2015,CHI,12,35,-0.48936170212765956
W2148163144,2015,CHI,3,11,-0.5714285714285714
W2141795668,2015,CHI,6,29,-0.6571428571428571
W2163444123,2015,CHI,46,145,-0.518324607329843
W2040372247,2015,CHI,8,29,-0.5675675675675675
W1924429363,2015,CHI,54,146,-0.46
W2193303691,2015,CHI,3,4,-0.14285714285714285
W4253045713,2015,CHI,3,2,0.2
W2149252982,2015,CHI,107,75,0.17582417582417584
W2071620178,2015,CHI,19,72,-0.5824175824175825
W1964639420,2015,CHI,6,10,-0.25
W2068176125,2015,CIKM,10,44,-0.6296296296296297
W1938204631,2015,CVPR,38,162,-0.62
W1558278838,2015,FOCS,1,4,-0.6
W2011044158,2015,FSE,40,34,0.08108108108108109
W2053553342,2015,FSE,3,13,-0.625
W2136601052,2015,FSE,7,64,-0.8028169014084507
W1964730672,2015,FSE,6,57,-0.8095238095238095
W2063535228,2015,FSE,9,57,-0.7272727272727273
W2015187825,2015,FSE,17,109,-0.7301587301587301
W2079877139,2015,FSE,6,41,-0.7446808510638298
W2027701108,2015,FSE,2,12,-0.7142857142857143
W2220384803,2015,ICCV,51,149,-0.49
W1876956220,2015,ICML,4,17,-0.6190476190476191
W1826818071,2015,ICML,9,43,-0.6538461538461539
W4239863959,2015,ICSE,36,26,0.16129032258064516
W4238398178,2015,ICSE,7,9,-0.125
W4241437391,2015,ICSE,15,89,-0.7115384615384616
W2582748022,2015,ICSE,1,16,-0.8823529411764706
W4242581305,2015,ICSE,13,5,0.4444444444444444
W4244284331,2015,ICSE,8,29,-0.5675675675675675
W2399956932,2015,IJCAI,0,0,
W2497473102,2015,IJCAI,4,18,-0.6363636363636364
W1591399774,2015,INFOCOM,13,53,-0.6060606060606061
W1965771689,2015,KDD,5,17,-0.5454545454545454
W2538862502,2015,MOBICOM,2,0,1.0
W2187207766,2015,NeurIPS,3,30,-0.8181818181818182
W2963297691,2015,NeurIPS,5,43,-0.7916666666666666
W1608999459,2015,NSDI,104,96,0.04
W1980568117,2015,NSDI,8,40,-0.6666666666666666
W1642392512,2015,NSDI,11,69,-0.725
W2061091230,2015,PLDI,11,86,-0.7731958762886598
W2037037228,2015,PLDI,1,27,-0.9285714285714286
W2003164052,2015,PLDI,10,68,-0.7435897435897436
W2070021346,2015,PODS,2,6,-0.5
W2580339477,2015,S&P,2,9,-0.6363636363636364
W1536141561,2015,S&P,8,37,-0.6444444444444445
W2094739364,2015,SIGCOMM,24,100,-0.6129032258064516
W2070299948,2015,SIGIR,4,38,-0.8095238095238095
W3212975581,2015,SIGMETRICS,7,16,-0.391304347826087
W2092799168,2015,SIGMOD,25,88,-0.5575221238938053
W2565184432,2015,SODA,13,0,1.0
W2902547091,2015,SOSP,4,10,-0.42857142857142855
W2073742357,2015,SOSP,9,120,-0.8604651162790697
W2008949474,2015,SOSP,17,28,-0.24444444444444444
W2082224527,2015,STOC,0,27,-1.0
W2031923588,2015,STOC,18,82,-0.64
W2033498419,2015,STOC,7,33,-0.65
W2197150605,2015,UIST,10,59,-0.7101449275362319
W2176017127,2015,UIST,20,112,-0.696969696969697
W2271345687,2015,UIST,24,46,-0.3142857142857143
W2269738476,2015,VLDB,63,137,-0.37
W2141990617,2015,WWW,10,34,-0.5454545454545454
W151167705,2014,AAAI,8,37,-0.6444444444444445
W2251682575,2014,ACL,61,139,-0.39
W2137864660,2014,CHI,71,60,0.08396946564885496
W2005511465,2014,CHI,5,19,-0.5833333333333334
W2081933842,2014,CHI,7,22,-0.5172413793103449
W2005996634,2014,CHI,5,42,-0.7872340425531915
W2094690640,2014,CHI,27,61,-0.38636363636363635
W2155058526,2014,CHI,10,190,-0.9
W2125898659,2014,CHI,26,96,-0.5737704918032787
W2059268796,2014,CHI,6,71,-0.8441558441558441
W2140006089,2014,CHI,8,19,-0.4074074074074074
W1985475196,2014,CHI,0,9,-1.0
W2250553926,2014,CHI,33,167,-0.67
W2047781873,2014,CHI,19,26,-0.15555555555555556
W2162409443,2014,CHI,30,25,0.09090909090909091
W2117160827,2014,CHI,8,13,-0.23809523809523808
W2051295909,2014,CHI,6,18,-0.5
W2124910144,2014,CHI,4,10,-0.42857142857142855
W2106612861,2014,CHI,14,48,-0.5483870967741935
W2061985103,2014,CIKM,6,27,-0.6363636363636364
W2032643440,2014,CVPR,0,22,-1.0
W4240592614,2014,FOCS,0,0,
W2158356994,2014,FSE,1,13,-0.8571428571428571
W2102147011,2014,FSE,1,23,-0.9166666666666666
W2140609933,2014,FSE,31,148,-0.6536312849162011
W2041235686,2014,FSE,1,11,-0.8333333333333334
W2096146112,2014,FSE,4,18,-0.6363636363636364
W2135937266,2014,FSE,10,190,-0.9
W159693449,2014,ICML,12,85,-0.7525773195876289
W2056659466,2014,ICSE,17,20,-0.08108108108108109
W2095839586,2014,ICSE,36,116,-0.5263157894736842
W2106072155,2014,ICSE,72,128,-0.28
W2080395944,2014,ICSE,36,44,-0.1
W1970005004,2014,ICSE,6,117,-0.9024390243902439
W2113610359,2014,ICSE,10,78,-0.7727272727272727
W2086186328,2014,ICSE,2,30,-0.875
W2090907135,2014,ICSE,15,37,-0.4230769230769231
W2050127001,2014,ICSE,9,35,-0.5909090909090909
W2421692426,2014,INFOCOM,0,4,-1.0
W1995769257,2014,INFOCOM,0,25,-1.0
W2052261215,2014,KDD,47,112,-0.4088050314465409
W2069973845,2014,MOBICOM,53,147,-0.47
W2169054943,2014,NeurIPS,42,100,-0.4084507042253521
W2170892587,2014,NeurIPS,152,48,0.52
W2265366104,2014,OSDI,12,35,-0.48936170212765956
W2061643296,2014,OSDI,24,176,-0.76
W2169414316,2014,OSDI,12,188,-0.88
W2170737051,2014,PLDI,50,107,-0.3630573248407643
W2057510141,2014,PLDI,6,32,-0.6842105263157895
W2050680750,2014,PLDI,6,55,-0.8032786885245902
W2658699200,2014,PODS,2,6,-0.5
W2302922559,2014,S&P,7,21,-0.5
W4240983449,2014,SIGCOMM,3,6,-0.3333333333333333
W4254522945,2014,SIGCOMM,8,64,-0.7777777777777778
W2089455813,2014,SIGIR,6,73,-0.8481012658227848
W319976220,2014,SIGMETRICS,0,17,-1.0
W2099102906,2014,SIGMOD,10,75,-0.7647058823529411
W2296493992,2014,SODA,0,0,
W2278710066,2014,SODA,0,57,-1.0
W2033871299,2014,STOC,17,100,-0.7094017094017094
W2106941316,2014,UIST,2,39,-0.9024390243902439
W2028953510,2014,UIST,22,104,-0.6507936507936508
W2144575742,2014,UIST,21,60,-0.48148148148148145
W2243512312,2014,VLDB,5,39,-0.7727272727272727
W4230031594,2014,VLDB,5,6,-0.09090909090909091
W2294510862,2014,VLDB,40,14,0.48148148148148145
W2797202077,2014,VLDB,0,6,-1.0
W3009330983,2014,VLDB,0,5,-1.0
W2060170830,2014,WWW,7,24,-0.5483870967741935
W2186424956,2013,AAAI,0,3,-1.0
W2215753997,2013,AAAI,2,9,-0.6363636363636364
W2136985729,2013,ACL,41,57,-0.16326530612244897
W2052209137,2013,CHI,27,53,-0.325
W2158892938,2013,CHI,33,34,-0.014925373134328358
W2032438879,2013,CHI,43,87,-0.3384615384615385
W2021826037,2013,CHI,3,19,-0.7272727272727273
W2128640376,2013,CHI,4,16,-0.6
W4241693488,2013,CHI,4,10,-0.42857142857142855
W1986345088,2013,CHI,26,70,-0.4583333333333333
W1988133012,2013,CHI,32,48,-0.2
W2147603330,2013,CHI,86,114,-0.14
W4240168875,2013,CHI,55,49,0.057692307692307696
W2007644286,2013,CHI,20,38,-0.3103448275862069
W4243991703,2013,CHI,18,23,-0.12195121951219512
W2056225838,2013,CHI,61,18,0.5443037974683544
W1997652918,2013,CHI,2,0,1.0
W2109727442,2013,CHI,3,28,-0.8064516129032258
W2025802550,2013,CHI,4,7,-0.2727272727272727
W2163568095,2013,CHI,15,30,-0.3333333333333333
W2003513631,2013,CIKM,9,22,-0.41935483870967744
W2337673916,2013,CVPR,0,1,-1.0
W2133352257,2013,FOCS,0,65,-1.0
W2219934286,2013,FOCS,0,5,-1.0
W2135166986,2013,ICCV,11,61,-0.6944444444444444
W1510950165,2013,ICML,4,39,-0.813953488372093
W108223363,2013,ICML,5,10,-0.3333333333333333
W4213086105,2013,ICSE,2,17,-0.7894736842105263
W4239177305,2013,ICSE,8,10,-0.1111111111111111
W4237335675,2013,ICSE,23,27,-0.08
W4244598732,2013,ICSE,38,30,0.11764705882352941
W4246552097,2013,ICSE,13,30,-0.3953488372093023
W4255632703,2013,ICSE,15,115,-0.7692307692307693
W1562564857,2013,IJCAI,0,0,
W1974066983,2013,INFOCOM,8,59,-0.7611940298507462
W2088424151,2013,KDD,63,75,-0.08695652173913043
W2141336889,2013,MOBICOM,77,123,-0.23
W2110563098,2013,NeurIPS,3,26,-0.7931034482758621
W2138597123,2013,NeurIPS,17,65,-0.5853658536585366
W2950468916,2013,NeurIPS,18,80,-0.6326530612244898
W1543942291,2013,NSDI,20,87,-0.6261682242990654
W73604409,2013,NSDI,7,19,-0.46153846153846156
W2157216158,2013,PLDI,7,21,-0.5
W7111374649,2013,PLDI,0,0,
W2048025009,2013,PLDI,16,65,-0.6049382716049383
W2063553958,2013,PLDI,0,7,-1.0
W2046261894,2013,PODS,0,6,-1.0
W2252150191,2013,S&P,3,16,-0.6842105263157895
W2099461393,2013,SIGCOMM,117,83,0.17
W2159205954,2013,SIGIR,20,37,-0.2982456140350877
W2145432435,2013,SIGMETRICS,0,27,-1.0
W2002203222,2013,SIGMOD,5,79,-0.8809523809523809
W4239159750,2013,SODA,6,0,1.0
W4238411931,2013,SODA,28,0,1.0
W2104670257,2013,SOSP,24,71,-0.49473684210526314
W1978364288,2013,SOSP,25,47,-0.3055555555555556
W1976821017,2013,SOSP,38,162,-0.62
W2405285952,2013,STOC,0,8,-1.0
W2101043704,2013,STOC,28,172,-0.72
W2150549828,2013,UIST,24,100,-0.6129032258064516
W2109018459,2013,UIST,13,60,-0.6438356164383562
W2001716033,2013,UIST,12,42,-0.5555555555555556
W2033201131,2013,VLDB,10,58,-0.7058823529411765
W2127411301,2013,WWW,81,98,-0.09497206703910614
W2293636571,2012,AAAI,2,15,-0.7647058823529411
W1512874001,2012,AAAI,10,58,-0.7058823529411765
W2159250884,2012,ACL,0,35,-1.0
W2136345490,2012,CHI,22,34,-0.21428571428571427
W2126298837,2012,CHI,32,36,-0.058823529411764705
W2060696172,2012,CHI,4,29,-0.7575757575757576
W2166132393,2012,CHI,29,18,0.23404255319148937
W2048608322,2012,CHI,34,47,-0.16049382716049382
W1823310840,2012,CHI,28,12,0.4
W2030343501,2012,CHI,17,77,-0.6382978723404256
W2047883041,2012,CHI,14,36,-0.44
W1974923332,2012,CHI,4,14,-0.5555555555555556
W2168953163,2012,CHI,2,10,-0.6666666666666666
W2295996570,2012,CHI,42,63,-0.2
W2096423888,2012,CIKM,15,79,-0.6808510638297872
W1994804971,2012,CVPR,6,105,-0.8918918918918919
W2584961879,2012,FOCS,2,15,-0.7647058823529411
W2148791594,2012,FOCS,1,22,-0.9130434782608695
W2148787816,2012,FSE,7,39,-0.6956521739130435
W1965085982,2012,FSE,2,8,-0.6
W1995969252,2012,FSE,21,38,-0.288135593220339
W2161340280,2012,ICML,5,55,-0.8333333333333334
W3148956615,2012,ICSE,23,18,0.12195121951219512
W3146113246,2012,ICSE,9,33,-0.5714285714285714
W3140308147,2012,ICSE,2,22,-0.8333333333333334
W3161167621,2012,ICSE,2,4,-0.3333333333333333
W3142903977,2012,ICSE,28,27,0.01818181818181818
W2112351052,2012,ICSE,23,65,-0.4772727272727273
W3149109633,2012,ICSE,9,28,-0.5135135135135135
W1969844906,2012,INFOCOM,0,114,-1.0
W2099302229,2012,KDD,49,151,-0.51
W2154346544,2012,MOBICOM,21,16,0.13513513513513514
W2131975293,2012,NSDI,45,155,-0.55
W1984533413,2012,OSDI,1,0,1.0
W2098575846,2012,PLDI,7,38,-0.6888888888888889
W2093044565,2012,PODS,14,186,-0.86
W2113551315,2012,SIGCOMM,20,89,-0.6330275229357798
W2029009258,2012,SIGIR,28,90,-0.5254237288135594
W2101221989,2012,SIGMETRICS,57,49,0.07547169811320754
W2123458705,2012,SIGMOD,0,37,-1.0
W1995509853,2012,SODA,1,17,-0.8888888888888888
W2119368733,2012,STOC,13,132,-0.8206896551724138
W1988508518,2012,STOC,3,28,-0.8064516129032258
W2010127311,2012,UIST,6,27,-0.6363636363636364
W2167913131,2012,UIST,6,35,-0.7073170731707317
W2953102514,2012,VLDB,0,48,-1.0
W1982139456,2012,WWW,16,59,-0.5733333333333334
W57159709,2011,AAAI,5,40,-0.7777777777777778
W1768003445,2011,AAAI,6,14,-0.4
W2142523187,2011,ACL,28,130,-0.6455696202531646
W2080299624,2011,CHI,35,47,-0.14634146341463414
W2022815033,2011,CHI,39,67,-0.2641509433962264
W2153391061,2011,CHI,19,25,-0.13636363636363635
W2146852151,2011,CHI,12,11,0.043478260869565216
W2105697580,2011,CHI,15,32,-0.3617021276595745
W2081964782,2011,CHI,9,54,-0.7142857142857143
W2136691781,2011,CHI,38,98,-0.4411764705882353
W2127473562,2011,CHI,24,22,0.043478260869565216
W2097331574,2011,CHI,3,26,-0.7931034482758621
W603000039,2011,CHI,0,2,-1.0
W2140232903,2011,CHI,52,46,0.061224489795918366
W1986692274,2011,CHI,12,11,0.043478260869565216
W1989813731,2011,CIKM,7,29,-0.6111111111111112
W2060280062,2011,CVPR,119,81,0.19
W2038652993,2011,FOCS,0,90,-1.0
W2136400551,2011,FOCS,0,70,-1.0
W2113184918,2011,FOCS,0,4,-1.0
W2107220315,2011,FSE,10,81,-0.7802197802197802
W2091543666,2011,FSE,15,87,-0.7058823529411765
W2167626029,2011,FSE,22,66,-0.5
W2294130536,2011,ICCV,27,173,-0.73
W2132339352,2011,ICML,1,8,-0.7777777777777778
W2111765806,2011,ICSE,20,72,-0.5652173913043478
W2119142490,2011,ICSE,5,63,-0.8529411764705882
W2106860490,2011,ICSE,16,44,-0.4666666666666667
W2116907335,2011,ICSE,21,52,-0.4246575342465753
W2792443233,2011,ICSE,87,0,1.0
W1611302770,2011,IJCAI,0,81,-1.0
W2148552911,2011,IJCAI,1,8,-0.7777777777777778
W2135798231,2011,INFOCOM,64,136,-0.36
W2044879407,2011,KDD,11,4,0.4666666666666667
W2138961375,2011,MOBICOM,17,42,-0.423728813559322
W2126541908,2011,MOBICOM,48,51,-0.030303030303030304
W174578849,2011,NSDI,15,74,-0.6629213483146067
W1515106148,2011,NSDI,45,155,-0.55
W2137824953,2011,PLDI,19,15,0.11764705882352941
W2095609152,2011,PODS,1,22,-0.9130434782608695
W1982170863,2011,SIGCOMM,41,127,-0.5119047619047619
W2008251177,2011,SIGIR,14,63,-0.6363636363636364
W2136110891,2011,SIGMETRICS,0,21,-1.0
W2115799249,2011,SIGMOD,4,7,-0.2727272727272727
W2116019049,2011,SODA,0,55,-1.0
W2097379719,2011,SOSP,136,64,0.36
