conference,work_id,cited_by_count,pub_year,type
CHI,W2443761299,0,2012.0,regular
CHI,W564703744,0,2003.0,regular
CHI,W1965017294,5,2000.0,regular
CHI,W2465054073,0,2003.0,regular
CHI,W2526357764,3,2013.0,regular
CHI,W2997894017,0,2016.0,regular
CHI,W2268776342,0,2008.0,regular
CHI,W2159937997,2,2006.0,regular
CHI,W1587045701,0,2010.0,regular
CHI,W2268678570,0,2015.0,regular
CHI,W2410632399,22,2004.0,regular
CHI,W2295483430,4,2011.0,regular
CHI,W2606123231,2,1991.0,regular
CHI,W2414373406,0,2014.0,regular
CIKM,W7127548652,0,2024.0,regular
CIKM,W992937695,0,2013.0,regular
CIKM,W2943579547,0,2018.0,regular
CIKM,W14781952,10,2011.0,regular
CIKM,W2886926737,1,2018.0,regular
CIKM,W3152831733,0,2011.0,regular
CIKM,W2535115674,0,1994.0,regular
CIKM,W2789472851,0,2012.0,regular
CIKM,W2249779607,0,2014.0,regular
CIKM,W2185527085,0,2013.0,regular
CIKM,W2972922681,2,2014.0,regular
CIKM,W2246336842,0,1993.0,regular
CIKM,W2100878620,35,2012.0,regular
CIKM,W3090358934,0,1998.0,regular
CIKM,W634514050,0,2010.0,regular
CIKM,W3039045594,0,2021.0,regular
CIKM,W2922518503,0,2004.0,regular
CIKM,W319076510,0,2009.0,regular
CIKM,W3093648561,0,2009.0,regular
CIKM,W7114827344,0,2025.0,regular
CIKM,W2944920599,0,2017.0,regular
CIKM,W2964260170,0,2016.0,regular
CIKM,W2571586050,0,1999.0,regular
CIKM,W2244646512,0,2007.0,regular
CIKM,W3138792191,0,2012.0,regular
CIKM,W1523188892,0,2012.0,regular
CIKM,W3212647422,9,2021.0,regular
CIKM,W2276259577,0,1984.0,regular
CIKM,W2899441707,0,2012.0,regular
CIKM,W2963871335,14,2017.0,regular
CIKM,W3048745958,0,1999.0,regular
CIKM,W2991207505,10,2020.0,regular
CIKM,W3137790558,3,2021.0,regular
CIKM,W205805572,0,2008.0,regular
CIKM,W2416620739,0,2000.0,regular
CIKM,W2997792200,9,2019.0,regular
CIKM,W1957003547,2,2005.0,regular
CIKM,W3172334966,0,2020.0,regular
CIKM,W2287427008,1,2009.0,regular
CIKM,W2783551140,0,2009.0,regular
CIKM,W2243715176,2,2005.0,regular
CIKM,W2968585908,0,2018.0,regular
CIKM,W3176825053,0,2007.0,regular
CIKM,W2554492941,0,2016.0,regular
CIKM,W2794596709,1,2015.0,regular
CIKM,W2245025592,0,2003.0,regular
CIKM,W2614905315,0,2008.0,regular
CIKM,W2347063671,7,2016.0,regular
CIKM,W2496950413,0,2002.0,regular
CIKM,W7125354697,0,2020.0,regular
CVPR,W2962680951,9,2017.0,regular
CVPR,W2963568334,21,2015.0,regular
CVPR,W3209174574,27,2021.0,regular
CVPR,W2963956412,22,2018.0,regular
CVPR,W3008725893,27,2019.0,regular
CVPR,W2963666573,65,2016.0,regular
CVPR,W3212487835,20,2021.0,regular
CVPR,W2996580318,15,2018.0,regular
CVPR,W3186758430,65,2021.0,regular
CVPR,W3213882184,22,2017.0,regular
CVPR,W3209830540,9,2021.0,regular
CVPR,W2963814707,5,2018.0,regular
CVPR,W3165064550,4,2021.0,regular
CVPR,W2963516646,95,2016.0,regular
CVPR,W3181356059,77,2020.0,regular
CVPR,W2965886910,9,2017.0,regular
CVPR,W4296700525,12,2022.0,regular
CVPR,W3211637939,11,2021.0,regular
CVPR,W2996447514,17,2018.0,regular
CVPR,W3203095376,20,2021.0,regular
CVPR,W3199713517,17,2021.0,regular
CVPR,W4226283412,27,2021.0,regular
CVPR,W4287023797,5,2021.0,regular
CVPR,W2985605471,9,2019.0,regular
CVPR,W2963332798,1,2015.0,regular
CVPR,W3004047953,1,2018.0,regular
CVPR,W2942508063,91,2019.0,regular
CVPR,W3186208756,34,2021.0,regular
CVPR,W3205813705,8,2021.0,regular
CVPR,W3140129157,1,2011.0,regular
CVPR,W3215953200,6,2021.0,regular
CVPR,W2963242019,97,2016.0,regular
CVPR,W2963001435,7,2017.0,regular
CVPR,W2963488431,14,2017.0,regular
CVPR,W2964068172,11,2016.0,regular
CVPR,W2962691672,18,2016.0,regular
CVPR,W2964133791,2,2017.0,regular
CVPR,W3206837489,45,2021.0,regular
CVPR,W2963978069,183,2016.0,regular
CVPR,W3215301771,71,2021.0,regular
CVPR,W2963872945,16,2015.0,regular
CVPR,W3197730363,36,2021.0,regular
CVPR,W3197867394,32,2021.0,regular
CVPR,W3210225642,30,2021.0,regular
CVPR,W4293248187,1,2022.0,regular
CVPR,W2964008148,51,2017.0,regular
CVPR,W2963295590,19,2018.0,regular
CVPR,W3010999265,24,2018.0,regular
CVPR,W2967756749,29,2019.0,regular
CVPR,W2963597965,15,2016.0,regular
FOCS,W3003460476,4,2020.0,regular
FOCS,W2898122592,0,2018.0,regular
FOCS,W2255691489,0,2008.0,regular
FOCS,W67822,1,2013.0,regular
