treated_id,treated_name,control_id,control_name,conference,award_year,treat_pos,ctrl_pos,match_dist,core_rank
https://openalex.org/A5082188602,Lakshmish Ramaswamy,https://openalex.org/A5100824251,Shaoqing Ren,WWW,2004,1,3,0.0,Unranked
https://openalex.org/A5110904945,LING LIU,https://openalex.org/A5100785015,Jian Sun,WWW,2004,3,4,0.0,Unranked
https://openalex.org/A5051441682,Gabe Reinstein,https://openalex.org/A5035432679,Aviad Rubinstein,ACL,2003,2,1,0.0,Unranked
https://openalex.org/A5069830330,Tom Stocky,https://openalex.org/A5041545934,Ran Raz,ACL,2003,3,1,0.0,Unranked
https://openalex.org/A5089960673,Rob Fergus,https://openalex.org/A5065748190,Anh Tuan Nguyen,CVPR,2003,1,1,0.0,A*
https://openalex.org/A5025420692,Bo Brinkman,https://openalex.org/A5088362471,Michael Hilton,FOCS,2003,1,2,0.0,A*
https://openalex.org/A5078041729,Stephen McCamant,https://openalex.org/A5044339946,Hoan Anh Nguyen,FSE,2003,1,4,0.0,Unranked
https://openalex.org/A5084185098,Gregory M. Kapfhammer,https://openalex.org/A5060719581,Kai Niklas,FSE,2003,1,3,1.0,Unranked
https://openalex.org/A5064883489,Shubiao Li,https://openalex.org/A5060719581,Kai Niklas,FSE,2003,2,3,0.0,Unranked
https://openalex.org/A5096892146,Fitzgibbon,https://openalex.org/A5031529088,Kurt Schneider,ICCV,2003,1,4,0.0,A*
https://openalex.org/A5096865738,Wexler,https://openalex.org/A5115883174,Lin Tan,ICCV,2003,2,3,0.0,A*
https://openalex.org/A5001760915,Zhuowen Tu,https://openalex.org/A5060719581,Kai Niklas,ICCV,2003,1,3,1.0,A*
https://openalex.org/A5003047938,Daniel Snow,https://openalex.org/A5060719581,Kai Niklas,ICCV,2003,3,3,0.0,A*
https://openalex.org/A5026996875,Youtao Zhang,https://openalex.org/A5031529088,Kurt Schneider,ICSE,2003,3,4,0.0,A*
https://openalex.org/A5026932942,Alex Groce,https://openalex.org/A5115883174,Lin Tan,ICSE,2003,3,3,0.0,A*
https://openalex.org/A5069421748,Darse Billings,https://openalex.org/A5112258462,Christopher Scaffidi,IJCAI,2003,1,5,0.0,A*
https://openalex.org/A5064274071,David Kempe,https://openalex.org/A5112258462,Christopher Scaffidi,KDD,2003,1,5,0.0,Unranked
https://openalex.org/A5032089564,Srikanth Bellamkonda,https://openalex.org/A5044511705,Eunsuk Kang,SIGMOD,2003,2,1,0.0,A*
https://openalex.org/A5102725147,Petros Maniatis,https://openalex.org/A5072901963,Aleksandar Milićević,SOSP,2003,1,2,0.0,A*
https://openalex.org/A5112039412,Samuel T. King,https://openalex.org/A5101853727,Daniel Jackson,SOSP,2003,1,3,0.0,A*
https://openalex.org/A5087418634,Glen Jeh,https://openalex.org/A5084396416,Xiaofei Xie,WWW,2003,1,1,0.0,Unranked
https://openalex.org/A5080942754,Boanerges Aleman-Meza,https://openalex.org/A5112258462,Christopher Scaffidi,WWW,2003,1,5,0.0,Unranked
https://openalex.org/A5010776606,Chris Halaschek,https://openalex.org/A5044511705,Eunsuk Kang,WWW,2003,2,1,0.0,Unranked
https://openalex.org/A5046457818,Franz Josef Och,https://openalex.org/A5059729571,Nal Kalchbrenner,ACL,2002,1,2,0.0,Unranked
https://openalex.org/A5079123053,William Henry Bukowski,https://openalex.org/A5031378020,Victor Bapst,FOCS,2002,1,2,0.0,A*
https://openalex.org/A5014101817,Darya Chudova,https://openalex.org/A5088438387,Nikolaos Tsantalis,KDD,2002,1,2,0.0,Unranked
https://openalex.org/A5100388094,Yi Zhang,https://openalex.org/A5100703246,Marco Túlio Valente,SIGIR,2002,1,3,0.0,A*
https://openalex.org/A5027569258,Ulrich Germann,https://openalex.org/A5059729571,Nal Kalchbrenner,ACL,2001,1,2,0.0,Unranked
https://openalex.org/A5053233618,Michael Jahr,https://openalex.org/A5031378020,Victor Bapst,ACL,2001,2,2,0.0,Unranked
https://openalex.org/A5100462890,Jiwon Kim,https://openalex.org/A5088438387,Nikolaos Tsantalis,ICCV,2001,2,2,0.0,A*
https://openalex.org/A5012032862,Edwin M. Knorr,https://openalex.org/A5100703246,Marco Túlio Valente,KDD,2001,1,3,0.0,Unranked
https://openalex.org/A5015424594,Amnon Lotem,https://openalex.org/A5006533777,Rémi Munos,PODS,2001,2,5,0.0,Unranked
https://openalex.org/A5068395748,Vikas Khandelwal,https://openalex.org/A5059729571,Nal Kalchbrenner,SIGIR,2001,3,2,0.0,A*
https://openalex.org/A5078245746,Eamonn Keogh,https://openalex.org/A5031378020,Victor Bapst,SIGMOD,2001,1,2,0.0,A*
https://openalex.org/A5041830534,Steve Zdancewic,https://openalex.org/A5088438387,Nikolaos Tsantalis,SOSP,2001,1,2,0.0,A*
https://openalex.org/A5069017863,Lantian Zheng,https://openalex.org/A5100703246,Marco Túlio Valente,SOSP,2001,2,3,0.0,A*
https://openalex.org/A5111998286,Nathaniel Nystrom,https://openalex.org/A5052125239,Marcello M. Bersani,SOSP,2001,3,1,0.0,A*
https://openalex.org/A5084561739,Rodrigo Rodrigues,https://openalex.org/A5031378020,Victor Bapst,SOSP,2001,1,2,1.0,A*
https://openalex.org/A5059491225,Miguel Castro,https://openalex.org/A5024976868,Carlo Ghezzi,SOSP,2001,2,3,0.0,A*
https://openalex.org/A5008167536,Chester Fitchett,https://openalex.org/A5031710345,Thomas Schwentick,UIST,2001,2,5,1.0,Unranked
https://openalex.org/A5102195798,Jian Yin,https://openalex.org/A5064490024,Pierluigi San Pietro,WWW,2001,1,5,0.0,Unranked
https://openalex.org/A5047278339,Finnegan Southey,https://openalex.org/A5060527236,Munawar Hafiz,AAAI,2000,2,3,0.0,A*
https://openalex.org/A5012751147,Dorin Comaniciu,https://openalex.org/A5023078795,Mohammed Sayagh,CVPR,2000,1,4,0.0,A*
https://openalex.org/A5017036718,András Veres,https://openalex.org/A5101569699,Koushik Sen,INFOCOM,2000,1,4,1.0,A*
https://openalex.org/A5015797494,Miklós Boda,https://openalex.org/A5087594876,Frank Tip,INFOCOM,2000,2,2,0.0,A*
https://openalex.org/A5048534004,Benjamin Chelf,https://openalex.org/A5075681113,Esben Andreasen,OSDI,2000,2,3,0.0,A*
https://openalex.org/A5108791099,Andy Chou,https://openalex.org/A5101569699,Koushik Sen,OSDI,2000,3,4,0.0,A*
https://openalex.org/A5086854307,Jaana Kekäläinen,https://openalex.org/A5103189175,Anders Møller,SIGIR,2000,2,5,0.0,A*
https://openalex.org/A5057889288,Hartmut Liefke,https://openalex.org/A5048181945,Matthew Hicks,SIGMOD,2000,1,2,0.0,A*
https://openalex.org/A5101772780,Ravi Kumar,https://openalex.org/A5100714793,Xia Hong,WWW,2000,2,2,0.0,Unranked
https://openalex.org/A5061038699,Farzin Maghoul,https://openalex.org/A5101569699,Koushik Sen,WWW,2000,3,4,0.0,Unranked
