author_id,author_name,treatment,conference,award_year,pre_avg_citations,post_avg_citations,pre_avg_works,post_avg_works,lift_citations,lift_works
https://openalex.org/A5014823249,Jincheng Mei,1,AAAI,2018,20.0,48.333333333333336,2.0,4.333333333333333,2.416666666666667,2.1666666666666665
https://openalex.org/A5069646529,Adhiguna Kuncoro,1,ACL,2018,319.5,149.4,4.0,4.8,0.46760563380281694,1.2
https://openalex.org/A5032195981,Sang-Gyun An,1,CHI,2018,27.0,18.0,2.0,2.0,0.6666666666666666,1.0
https://openalex.org/A5035195609,Sean Peacock,1,CHI,2018,2.5,18.0,2.5,2.5,7.2,1.0
https://openalex.org/A5061115418,Clara Crivellaro,1,CHI,2018,145.75,74.2,4.0,5.2,0.5090909090909091,1.3
https://openalex.org/A5021296068,Lydia Michie,1,CHI,2018,8.0,,1.0,,,
https://openalex.org/A5084538652,Morgan Klaus Scheuerman,1,CHI,2018,65.0,248.6,2.0,5.4,3.8246153846153845,2.7
https://openalex.org/A5063697388,Martin Porcheron,1,CHI,2018,75.2,88.8,2.6,7.2,1.180851063829787,2.769230769230769
https://openalex.org/A5034634435,Ari Schlesinger,1,CHI,2018,479.0,10.0,3.0,1.0,0.020876826722338204,0.3333333333333333
https://openalex.org/A5078903072,Robert B. Lull,1,CHI,2018,79.5,12.0,4.5,1.0,0.1509433962264151,0.2222222222222222
https://openalex.org/A5011438930,Jessica L. Feuston,1,CHI,2018,48.333333333333336,67.0,1.6666666666666667,2.0,1.386206896551724,1.2
https://openalex.org/A5091847639,Caroline Edasis,1,CHI,2018,202.5,,2.0,,,
https://openalex.org/A5086240513,Josh Andrés,1,CHI,2018,19.5,174.8,1.5,10.0,8.964102564102564,6.666666666666667
https://openalex.org/A5109428307,Jen Liu,1,CHI,2018,6.0,27.6,1.0,2.2,4.6000000000000005,2.2
https://openalex.org/A5091174431,Izabelle Janzen,1,CHI,2018,33.0,7.0,2.0,1.0,0.21212121212121213,0.5
https://openalex.org/A5011207998,Urmila Mahadev,1,FOCS,2018,3.0,19.5,1.0,1.5,6.5,1.5
https://openalex.org/A5063520549,Dor Minzer,1,FOCS,2018,28.5,46.0,1.0,11.2,1.6140350877192982,11.2
https://openalex.org/A5023724495,Wensheng Dou,1,FSE,2018,58.0,80.6,7.0,6.2,1.389655172413793,0.8857142857142858
https://openalex.org/A5091720485,Anish Athalye,1,ICML,2018,368.5,176.75,2.5,1.5,0.4796472184531886,0.6
https://openalex.org/A5017596078,Lydia T. Liu,1,ICML,2018,10.0,19.0,1.0,2.8,1.9,2.8
https://openalex.org/A5047182302,Esther Rolf,1,ICML,2018,1.5,417.8,1.5,6.0,278.53333333333336,4.0
https://openalex.org/A5102012317,Lingling Fan,1,ICSE,2018,138.0,243.4,2.5,7.8,1.763768115942029,3.12
https://openalex.org/A5071723330,Timo Rehfeld,1,ICSE,2018,6022.5,6.0,3.5,1.3333333333333333,0.00099626400996264,0.38095238095238093
https://openalex.org/A5103226106,Leonardo Sousa,1,ICSE,2018,115.33333333333333,41.0,4.666666666666667,2.4,0.3554913294797688,0.5142857142857142
https://openalex.org/A5056334354,Rijnard van Tonder,1,ICSE,2018,8.333333333333334,23.2,1.3333333333333333,3.0,2.784,2.25
https://openalex.org/A5009835433,Calvin Loncaric,1,ICSE,2018,50.0,,4.5,,,
https://openalex.org/A5082629071,Michael Rath,1,ICSE,2018,28.0,28.5,2.0,35.5,1.0178571428571428,17.75
https://openalex.org/A5032569584,Jacob Rendall,1,ICSE,2018,66.5,,1.5,,,
https://openalex.org/A5030456881,Chun Kai Ling,1,IJCAI,2018,33.0,13.2,2.0,4.2,0.39999999999999997,2.1
https://openalex.org/A5011742954,Giannis Nikolentzos,1,IJCAI,2018,100.66666666666667,121.8,2.6666666666666665,9.0,1.209933774834437,3.375
https://openalex.org/A5064520344,Polykarpos Meladianos,1,IJCAI,2018,122.33333333333333,52.5,3.3333333333333335,1.0,0.42915531335149865,0.3
https://openalex.org/A5100342798,Zihao Li,1,INFOCOM,2018,127.0,146.4,3.0,6.2,1.152755905511811,2.066666666666667
https://openalex.org/A5082318381,Subhramoy Mohanti,1,INFOCOM,2018,4.0,76.2,2.0,2.6,19.05,1.3
https://openalex.org/A5036229988,Elif Bozkaya,1,INFOCOM,2018,12.0,47.8,2.25,5.4,3.983333333333333,2.4000000000000004
https://openalex.org/A5052671825,Igor Kadota,1,INFOCOM,2018,89.66666666666667,132.6,2.3333333333333335,7.0,1.478810408921933,3.0
https://openalex.org/A5025058751,Daniel Zügner,1,KDD,2018,13.0,253.8,1.0,6.2,19.523076923076925,6.2
https://openalex.org/A5101558101,Mehrdad Moradi,1,MOBICOM,2018,51.5,8.0,2.5,1.0,0.1553398058252427,0.4
https://openalex.org/A5056747950,Kevin Scaman,1,NeurIPS,2018,20.25,20.2,3.25,5.2,0.9975308641975308,1.6
https://openalex.org/A5039192820,Yulia Rubanova,1,NeurIPS,2018,58.0,3643.6,1.0,13.0,62.820689655172416,13.0
https://openalex.org/A5085945429,Xinyang Ge,1,OSDI,2018,101.75,18.4,3.25,2.2,0.1808353808353808,0.676923076923077
https://openalex.org/A5060703788,Yizhou Shan,1,OSDI,2018,104.0,47.2,2.0,2.6,0.4538461538461539,1.3
https://openalex.org/A5071661999,Yutong Huang,1,OSDI,2018,1.0,62.5,1.0,2.5,62.5,2.5
https://openalex.org/A5081476292,Rocío Cañamares,1,SIGIR,2018,30.5,78.0,1.0,2.0,2.557377049180328,2.0
https://openalex.org/A5015113627,Huanchen Zhang,1,SIGMOD,2018,126.0,30.75,1.0,4.0,0.24404761904761904,4.0
https://openalex.org/A5090101869,Fulvio Di Lorenzo,1,SODA,2018,21.333333333333332,59.8,2.3333333333333335,4.0,2.803125,1.7142857142857142
https://openalex.org/A5021735130,David Porfirio,1,UIST,2018,8.333333333333334,20.2,1.0,1.8,2.424,1.8
https://openalex.org/A5073533400,Allison Sauppé,1,UIST,2018,298.5,27.5,4.5,2.0,0.09212730318257957,0.4444444444444444
https://openalex.org/A5041654458,Alok Mysore,1,UIST,2018,15.0,25.0,1.0,2.0,1.6666666666666667,2.0
https://openalex.org/A5019954653,Patrick Parzer,1,UIST,2018,139.33333333333334,145.0,2.0,2.0,1.04066985645933,1.0
https://openalex.org/A5061951606,Ryan Cotterell,1,ACL,2017,225.25,640.0,5.25,43.6,2.841287458379578,8.304761904761905
https://openalex.org/A5089731854,Sarah Webber,1,CHI,2017,82.75,74.8,4.25,4.4,0.9039274924471299,1.035294117647059
https://openalex.org/A5016617747,Sally Sherwen,1,CHI,2017,147.0,191.8,4.0,5.4,1.3047619047619048,1.35
https://openalex.org/A5068345805,Viirj Kan,1,CHI,2017,77.5,15.0,2.0,2.0,0.1935483870967742,1.0
https://openalex.org/A5049567786,Emma Vargo,1,CHI,2017,32.0,41.5,2.0,1.75,1.296875,0.875
https://openalex.org/A5021981631,Noa Machover,1,CHI,2017,32.0,,2.0,,,
https://openalex.org/A5008267619,Kuttimani Tamilmani,1,CHI,2017,15.5,1476.4,1.0,4.0,95.25161290322582,4.0
https://openalex.org/A5074224778,Camille Cobb,1,CHI,2017,38.666666666666664,70.33333333333333,1.0,4.0,1.8189655172413792,4.0
https://openalex.org/A5031825409,Samuel Sudar,1,CHI,2017,16.0,23.0,1.4,2.0,1.4375,1.4285714285714286
https://openalex.org/A5024399465,Jan Gugenheimer,1,CHI,2017,123.25,362.2,4.0,9.0,2.938742393509128,2.25
https://openalex.org/A5033203092,Julian Frommel,1,CHI,2017,32.666666666666664,203.0,2.6666666666666665,6.4,6.214285714285714,2.4000000000000004
https://openalex.org/A5056738154,José S Marcano Belisario,1,CHI,2017,333.0,70.33333333333333,2.4,2.3333333333333335,0.2112112112112112,0.9722222222222223
https://openalex.org/A5062258537,Alexandra To,1,CHI,2017,113.66666666666667,164.0,1.6666666666666667,3.8,1.4428152492668622,2.28
https://openalex.org/A5044904792,Heishiro Toyoda,1,CHI,2017,1.0,36.6,2.0,2.4,36.6,1.2
https://openalex.org/A5072417908,Anastasiya Bavykina,1,CHI,2017,179.0,871.2,3.5,5.2,4.867039106145252,1.4857142857142858
https://openalex.org/A5049519805,Zhuojian Zhong,1,CIKM,2017,7.0,,1.0,,,
https://openalex.org/A5076388753,Dan Gopstein,1,FSE,2017,11.0,14.5,1.0,2.0,1.3181818181818181,2.0
https://openalex.org/A5021297302,Timothy Tunnell,1,FSE,2017,296.0,,2.0,,,
https://openalex.org/A5038532934,Sainyam Galhotra,1,FSE,2017,72.66666666666667,59.6,2.3333333333333335,8.0,0.8201834862385321,3.4285714285714284
https://openalex.org/A5101415638,Yuchi Tian,1,FSE,2017,1.0,317.2,1.0,6.0,317.2,6.0
https://openalex.org/A5014407395,Georgia Gkioxari,1,ICCV,2017,465.25,1358.4,3.25,6.4,2.9197205803331543,1.9692307692307693
https://openalex.org/A5085762342,Davood Mazinanian,1,ICSE,2017,71.0,119.5,3.0,2.25,1.6830985915492958,0.75
https://openalex.org/A5013623251,Tyler Santander,1,ICSE,2017,12.0,160.0,1.0,5.8,13.333333333333334,5.8
https://openalex.org/A5081483504,August Shi,1,ICSE,2017,179.0,189.4,3.0,5.4,1.0581005586592178,1.8
https://openalex.org/A5046120615,Konstantinos Poularakis,1,INFOCOM,2017,258.8,240.0,5.0,7.8,0.9273570324574961,1.56
https://openalex.org/A5006744201,Noam Brown,1,NeurIPS,2017,49.333333333333336,243.6,2.6666666666666665,6.6,4.937837837837837,2.475
https://openalex.org/A5008595840,Hongseok Namkoong,1,NeurIPS,2017,178.0,351.0,2.0,5.0,1.9719101123595506,2.5
https://openalex.org/A5008326572,Amanieu d'Antras,1,PLDI,2017,26.5,2.0,1.5,1.0,0.07547169811320754,0.6666666666666666
https://openalex.org/A5070223708,Cosmin Gorgovan,1,PLDI,2017,26.5,20.666666666666668,1.5,2.0,0.779874213836478,1.3333333333333333
https://openalex.org/A5078763719,Jeehoon Kang,1,PLDI,2017,68.5,59.2,2.5,3.0,0.8642335766423358,1.2
