author_id,award_year,rel_year,pubs,cits
A5109988859,2007,-4,0,0
A5109988859,2007,-3,0,0
A5109988859,2007,-2,2,139
A5109988859,2007,-1,2,185
A5109988859,2007,0,4,200
A5109988859,2007,1,2,116
A5109988859,2007,2,0,0
A5109988859,2007,3,0,0
A5109988859,2007,4,1,140
A5109988859,2007,5,0,0
A5085896252,2007,-5,4,568
A5085896252,2007,-4,2,153
A5085896252,2007,-3,1,0
A5085896252,2007,-2,3,202
A5085896252,2007,-1,5,534
A5085896252,2007,0,7,337
A5085896252,2007,1,5,565
A5085896252,2007,2,2,210
A5085896252,2007,3,2,128
A5085896252,2007,4,0,0
A5085896252,2007,5,1,17
A5051391610,2007,-5,0,0
A5051391610,2007,-4,0,0
A5051391610,2007,-3,0,0
A5051391610,2007,-2,0,0
A5051391610,2007,-1,2,13
A5051391610,2007,0,1,106
A5051391610,2007,1,1,229
A5051391610,2007,2,4,167
A5051391610,2007,3,2,31
A5051391610,2007,4,2,219
A5051391610,2007,5,2,42
A5009722403,2007,-5,12,1008
A5009722403,2007,-4,12,2254
A5009722403,2007,-3,5,165
A5009722403,2007,-2,11,2055
A5009722403,2007,-1,10,818
A5009722403,2007,0,13,435
A5009722403,2007,1,19,1566
A5009722403,2007,2,11,1247
A5009722403,2007,3,15,738
A5009722403,2007,4,13,323
A5009722403,2007,5,22,386
A5029568096,2008,-5,1,2
A5029568096,2008,-4,0,0
A5029568096,2008,-3,9,147
A5029568096,2008,-2,9,167
A5029568096,2008,-1,13,709
A5029568096,2008,0,8,1198
A5029568096,2008,1,5,608
A5029568096,2008,2,12,403
A5029568096,2008,3,11,427
A5029568096,2008,4,12,134
A5029568096,2008,5,8,160
A5100861201,2008,-5,1,1
A5100861201,2008,-4,2,4
A5100861201,2008,-3,1,3
A5100861201,2008,-2,6,45
A5100861201,2008,-1,9,469
A5100861201,2008,0,8,619
A5100861201,2008,1,7,110
A5100861201,2008,2,13,236
A5100861201,2008,3,12,87
A5100861201,2008,4,13,195
A5100861201,2008,5,14,603
A5076917986,2008,-5,14,847
A5076917986,2008,-4,6,21
A5076917986,2008,-3,4,180
A5076917986,2008,-2,7,287
A5076917986,2008,-1,8,208
A5076917986,2008,0,7,1359
A5076917986,2008,1,3,103
A5076917986,2008,2,10,262
A5076917986,2008,3,11,28
A5076917986,2008,4,5,28
A5076917986,2008,5,10,95
A5076904467,2008,-5,1,5
A5076904467,2008,-4,5,875
A5076904467,2008,-3,1,108
A5076904467,2008,-2,4,17
A5076904467,2008,-1,8,291
A5076904467,2008,0,9,385
A5076904467,2008,1,5,87
A5076904467,2008,2,9,725
A5076904467,2008,3,4,13
A5076904467,2008,4,3,173
A5076904467,2008,5,11,605
A5009913852,2008,-5,0,0
A5009913852,2008,-4,1,10
A5009913852,2008,-3,2,7
A5009913852,2008,-2,0,0
