work_id,year,conference,ni,nj,cd_5,total_citers,cd_reliable
W2611715906,2017,ACL,4,4,0.0,8,
W2610214088,2017,CHI,7,50,-0.7543859649122807,57,-0.7543859649122807
W4300093098,2017,CHI,11,25,-0.3888888888888889,36,-0.3888888888888889
W2594859391,2017,CHI,3,12,-0.6,15,-0.6
W2591131751,2017,CHI,4,28,-0.75,32,-0.75
W2611348597,2017,CHI,9,7,0.125,16,0.125
W2767327746,2017,CHI,51,149,-0.49,200,-0.49
W2778244123,2017,CHI,22,8,0.4666666666666667,30,0.4666666666666667
W2611579020,2017,CHI,68,105,-0.2138728323699422,173,-0.2138728323699422
W2610339637,2017,CHI,53,127,-0.4111111111111111,180,-0.4111111111111111
W2611586694,2017,CHI,48,31,0.2151898734177215,79,0.2151898734177215
W2611667142,2017,CHI,10,30,-0.5,40,-0.5
W2610215278,2017,CHI,24,111,-0.6444444444444445,135,-0.6444444444444445
W2611474773,2017,CHI,35,56,-0.2307692307692307,91,-0.2307692307692307
W2610874624,2017,CHI,8,8,0.0,16,0.0
W2611632447,2017,CHI,11,27,-0.4210526315789473,38,-0.4210526315789473
W2610281177,2017,CHI,26,98,-0.5806451612903226,124,-0.5806451612903226
W2610874523,2017,CHI,10,45,-0.6363636363636364,55,-0.6363636363636364
W2610929834,2017,CHI,26,72,-0.4693877551020408,98,-0.4693877551020408
W2558581619,2017,CHI,16,19,-0.0857142857142857,35,-0.0857142857142857
W2610414453,2017,CHI,12,74,-0.7209302325581395,86,-0.7209302325581395
W2610850748,2017,CHI,10,32,-0.5238095238095238,42,-0.5238095238095238
W2603410158,2017,CHI,28,172,-0.72,200,-0.72
W2767692092,2017,CIKM,11,25,-0.3888888888888889,36,-0.3888888888888889
W2963446712,2017,CVPR,10,190,-0.9,200,-0.9
W2567101557,2017,CVPR,51,120,-0.4035087719298245,171,-0.4035087719298245
W2605041732,2017,FOCS,5,32,-0.7297297297297297,37,-0.7297297297297297
W2606192553,2017,FOCS,0,35,-1.0,35,-1.0
W2606089246,2017,FOCS,1,10,-0.8181818181818182,11,-0.8181818181818182
W2741400146,2017,FSE,3,23,-0.7692307692307693,26,-0.7692307692307693
W2741643261,2017,FSE,9,24,-0.4545454545454545,33,-0.4545454545454545
W2740295334,2017,FSE,26,101,-0.5905511811023622,127,-0.5905511811023622
W2739010619,2017,FSE,2,6,-0.5,8,
W2730550703,2017,FSE,51,149,-0.49,200,-0.49
W2741221537,2017,FSE,3,7,-0.4,10,-0.4
W2741422284,2017,FSE,9,34,-0.5813953488372093,43,-0.5813953488372093
W2963150697,2017,ICCV,7,193,-0.93,200,-0.93
W2597603852,2017,ICML,92,108,-0.08,200,-0.08
W2620436109,2017,ICSE,1,40,-0.951219512195122,41,-0.951219512195122
W2620457578,2017,ICSE,24,65,-0.4606741573033708,89,-0.4606741573033708
W2616911398,2017,ICSE,8,28,-0.5555555555555556,36,-0.5555555555555556
W2616911396,2017,ICSE,17,82,-0.6565656565656566,99,-0.6565656565656566
W2617348763,2017,ICSE,24,47,-0.323943661971831,71,-0.323943661971831
W2590575400,2017,ICSE,1,25,-0.9230769230769232,26,-0.9230769230769232
W2620074062,2017,IJCAI,1,0,1.0,1,
W2761021290,2017,INFOCOM,25,55,-0.375,80,-0.375
W2645731340,2017,KDD,20,20,0.0,40,0.0
W2763753824,2017,MOBICOM,25,144,-0.7041420118343196,169,-0.7041420118343196
W2612780607,2017,NeurIPS,12,36,-0.5,48,-0.5
W2944407464,2017,NeurIPS,108,0,1.0,108,1.0
W2962812035,2017,NeurIPS,32,0,1.0,32,1.0
W2605250808,2017,NSDI,7,41,-0.7083333333333334,48,-0.7083333333333334
W2731280337,2017,PLDI,5,14,-0.4736842105263157,19,-0.4736842105263157
W2626631502,2017,PLDI,2,99,-0.9603960396039604,101,-0.9603960396039604
W2562114628,2017,PLDI,2,18,-0.8,20,-0.8
W2625141509,2017,PLDI,139,61,0.39,200,0.39
W2606293658,2017,PODS,0,17,-1.0,17,-1.0
W2618267215,2017,S&P,0,114,-1.0,114,-1.0
W2744387122,2017,SIGCOMM,25,175,-0.75,200,-0.75
W2743093301,2017,SIGCOMM,23,156,-0.7430167597765364,179,-0.7430167597765364
W2970128991,2017,SIGIR,0,0,,0,
W2576238278,2017,SIGMETRICS,0,12,-1.0,12,-1.0
W2613088476,2017,SIGMOD,6,65,-0.8309859154929577,71,-0.8309859154929577
W2570172216,2017,SODA,16,0,1.0,16,1.0
W2760356198,2017,SOSP,0,17,-1.0,17,-1.0
W2909865272,2017,SOSP,10,1,0.8181818181818182,11,0.8181818181818182
W2604773616,2017,STOC,0,0,,0,
W2586521831,2017,STOC,25,113,-0.6376811594202898,138,-0.6376811594202898
W2625145881,2017,STOC,3,7,-0.4,10,-0.4
W2765855860,2017,UIST,5,7,-0.1666666666666666,12,-0.1666666666666666
W2766544714,2017,UIST,25,119,-0.6527777777777778,144,-0.6527777777777778
W2739069594,2017,UIST,12,31,-0.4418604651162791,43,-0.4418604651162791
W2583856578,2017,VLDB,2,24,-0.8461538461538461,26,-0.8461538461538461
W2555956881,2016,AAAI,0,1,-1.0,1,
W2515120005,2016,ACL,3,15,-0.6666666666666666,18,-0.6666666666666666
W2407293509,2016,CHI,33,17,0.32,50,0.32
W2225313775,2016,CHI,5,21,-0.6153846153846154,26,-0.6153846153846154
W2395063354,2016,CHI,9,17,-0.3076923076923077,26,-0.3076923076923077
W2400260714,2016,CHI,17,13,0.1333333333333333,30,0.1333333333333333
W2402642969,2016,CHI,16,47,-0.492063492063492,63,-0.492063492063492
W2405564622,2016,CHI,76,116,-0.2083333333333333,192,-0.2083333333333333
W2582468434,2016,CHI,0,0,,0,
W2351491323,2016,CHI,15,46,-0.5081967213114754,61,-0.5081967213114754
W2346915687,2016,CHI,15,22,-0.1891891891891892,37,-0.1891891891891892
W2396575601,2016,CHI,44,40,0.0476190476190476,84,0.0476190476190476
W2339558352,2016,CHI,25,9,0.4705882352941176,34,0.4705882352941176
W2395423607,2016,CHI,5,19,-0.5833333333333334,24,-0.5833333333333334
W4289875163,2016,CHI,23,18,0.1219512195121951,41,0.1219512195121951
W2408438722,2016,CHI,15,38,-0.4339622641509434,53,-0.4339622641509434
W2406854312,2016,CHI,7,15,-0.3636363636363636,22,-0.3636363636363636
W2402939184,2016,CHI,30,50,-0.25,80,-0.25
W2400074865,2016,CHI,7,39,-0.6956521739130435,46,-0.6956521739130435
W2396533648,2016,CHI,18,30,-0.25,48,-0.25
W2394670422,2016,CHI,53,15,0.5588235294117647,68,0.5588235294117647
W2400341429,2016,CHI,5,23,-0.6428571428571429,28,-0.6428571428571429
W2396662988,2016,CHI,5,26,-0.6774193548387096,31,-0.6774193548387096
W2273847690,2016,CHI,83,112,-0.1487179487179487,195,-0.1487179487179487
W2398012670,2016,CHI,9,48,-0.6842105263157895,57,-0.6842105263157895
W2537475616,2016,CIKM,18,38,-0.3571428571428571,56,-0.3571428571428571
W2194775991,2016,CVPR,17,183,-0.83,200,-0.83
W2430369560,2016,FOCS,5,36,-0.7560975609756098,41,-0.7560975609756098
W2903586563,2016,FOCS,2,7,-0.5555555555555556,9,
W2548627465,2016,FSE,24,87,-0.5675675675675675,111,-0.5675675675675675
W2547900581,2016,FSE,1,19,-0.9,20,-0.9
W2546949415,2016,FSE,9,31,-0.55,40,-0.55
W2546851909,2016,FSE,0,22,-1.0,22,-1.0
W2547471548,2016,FSE,5,11,-0.375,16,-0.375
W2546918856,2016,FSE,2,28,-0.8666666666666667,30,-0.8666666666666667
W2476494490,2016,FSE,12,135,-0.8367346938775511,147,-0.8367346938775511
W2556958149,2016,ICML,10,190,-0.9,200,-0.9
W2953318193,2016,ICML,58,142,-0.42,200,-0.42
W2949816416,2016,ICML,4,16,-0.6,20,-0.6
W1927112189,2016,ICSE,0,15,-1.0,15,-1.0
W2344496621,2016,ICSE,10,79,-0.7752808988764045,89,-0.7752808988764045
W2393286498,2016,ICSE,5,9,-0.2857142857142857,14,-0.2857142857142857
W2387719207,2016,ICSE,35,165,-0.65,200,-0.65
W2294434616,2016,ICSE,4,49,-0.8490566037735849,53,-0.8490566037735849
W2367183013,2016,ICSE,0,12,-1.0,12,-1.0
W2381207137,2016,ICSE,0,7,-1.0,7,
W2374182234,2016,ICSE,0,4,-1.0,4,
W2144160189,2016,ICSE,12,188,-0.88,200,-0.88
W2552810632,2016,IJCAI,22,178,-0.78,200,-0.78
W2492150193,2016,INFOCOM,0,41,-1.0,41,-1.0
W2348679751,2016,KDD,37,117,-0.5194805194805194,154,-0.5194805194805194
W2491263806,2016,NeurIPS,5,2,0.4285714285714285,7,
W2583834843,2016,NSDI,11,40,-0.5686274509803921,51,-0.5686274509803921
W2576393274,2016,OSDI,2,44,-0.9130434782608696,46,-0.9130434782608696
W2414762192,2016,PLDI,9,56,-0.7230769230769231,65,-0.7230769230769231
W2413028252,2016,PLDI,1,38,-0.9487179487179488,39,-0.9487179487179488
W2386500332,2016,PLDI,6,11,-0.2941176470588235,17,-0.2941176470588235
W2408975894,2016,PLDI,2,5,-0.4285714285714285,7,
W2963560792,2016,PODS,21,82,-0.5922330097087378,103,-0.5922330097087378
W2511192821,2016,S&P,0,160,-1.0,160,-1.0
W2989358216,2016,SIGCOMM,1,2,-0.3333333333333333,3,
W2488265751,2016,SIGCOMM,33,55,-0.25,88,-0.25
W2950280161,2016,SIGCOMM,1,5,-0.6666666666666666,6,
W2340380384,2016,SIGIR,9,20,-0.3793103448275862,29,-0.3793103448275862
W2339552468,2016,SIGMETRICS,0,5,-1.0,5,
W2421547754,2016,SIGMOD,13,75,-0.7045454545454546,88,-0.7045454545454546
W2953390354,2016,SODA,6,49,-0.7818181818181819,55,-0.7818181818181819
W3163127969,2016,SODA,1,4,-0.6,5,
W2963024133,2016,STOC,3,28,-0.8064516129032258,31,-0.8064516129032258
W2397754814,2016,STOC,2,11,-0.6923076923076923,13,-0.6923076923076923
W2409645877,2016,STOC,191,9,0.91,200,0.91
W2537074996,2016,UIST,22,18,0.1,40,0.1
W2533619018,2016,UIST,31,93,-0.5,124,-0.5
W2539017927,2016,UIST,22,21,0.0232558139534883,43,0.0232558139534883
W2538172027,2016,UIST,41,108,-0.4496644295302013,149,-0.4496644295302013
W4234138276,2016,VLDB,4,9,-0.3846153846153846,13,-0.3846153846153846
W2262364653,2016,WWW,13,22,-0.2571428571428571,35,-0.2571428571428571
W2211594368,2015,AAAI,3,34,-0.8378378378378378,37,-0.8378378378378378
W2137231986,2015,ACL,2,6,-0.5,8,
W2251557434,2015,ACL,12,21,-0.2727272727272727,33,-0.2727272727272727
W1974329625,2015,CHI,18,49,-0.4626865671641791,67,-0.4626865671641791
W2077940530,2015,CHI,6,53,-0.7966101694915254,59,-0.7966101694915254
W2171022339,2015,CHI,9,65,-0.7567567567567568,74,-0.7567567567567568
W1993143504,2015,CHI,16,18,-0.0588235294117647,34,-0.0588235294117647
W2169549255,2015,CHI,42,33,0.12,75,0.12
W2114469472,2015,CHI,12,52,-0.625,64,-0.625
W2171206549,2015,CHI,26,53,-0.3417721518987341,79,-0.3417721518987341
W2071865879,2015,CHI,7,21,-0.5,28,-0.5
W2162482411,2015,CHI,6,32,-0.6842105263157895,38,-0.6842105263157895
W1972988737,2015,CHI,12,35,-0.4893617021276595,47,-0.4893617021276595
W2148163144,2015,CHI,3,11,-0.5714285714285714,14,-0.5714285714285714
W2141795668,2015,CHI,6,29,-0.6571428571428571,35,-0.6571428571428571
W2163444123,2015,CHI,46,145,-0.518324607329843,191,-0.518324607329843
W2040372247,2015,CHI,8,29,-0.5675675675675675,37,-0.5675675675675675
W1924429363,2015,CHI,54,146,-0.46,200,-0.46
W2193303691,2015,CHI,3,4,-0.1428571428571428,7,
W4253045713,2015,CHI,3,2,0.2,5,
W2149252982,2015,CHI,107,75,0.1758241758241758,182,0.1758241758241758
W2071620178,2015,CHI,19,72,-0.5824175824175825,91,-0.5824175824175825
W1964639420,2015,CHI,6,10,-0.25,16,-0.25
W2068176125,2015,CIKM,10,44,-0.6296296296296297,54,-0.6296296296296297
W1938204631,2015,CVPR,38,162,-0.62,200,-0.62
W1558278838,2015,FOCS,1,4,-0.6,5,
W2011044158,2015,FSE,40,34,0.081081081081081,74,0.081081081081081
W2053553342,2015,FSE,3,13,-0.625,16,-0.625
W2136601052,2015,FSE,7,64,-0.8028169014084507,71,-0.8028169014084507
W1964730672,2015,FSE,6,57,-0.8095238095238095,63,-0.8095238095238095
W2063535228,2015,FSE,9,57,-0.7272727272727273,66,-0.7272727272727273
W2015187825,2015,FSE,17,109,-0.7301587301587301,126,-0.7301587301587301
W2079877139,2015,FSE,6,41,-0.7446808510638298,47,-0.7446808510638298
W2027701108,2015,FSE,2,12,-0.7142857142857143,14,-0.7142857142857143
W2220384803,2015,ICCV,51,149,-0.49,200,-0.49
W1876956220,2015,ICML,4,17,-0.6190476190476191,21,-0.6190476190476191
W1826818071,2015,ICML,9,43,-0.6538461538461539,52,-0.6538461538461539
W4239863959,2015,ICSE,36,26,0.1612903225806451,62,0.1612903225806451
W4238398178,2015,ICSE,7,9,-0.125,16,-0.125
W4241437391,2015,ICSE,15,89,-0.7115384615384616,104,-0.7115384615384616
W2582748022,2015,ICSE,1,16,-0.8823529411764706,17,-0.8823529411764706
W4242581305,2015,ICSE,13,5,0.4444444444444444,18,0.4444444444444444
W4244284331,2015,ICSE,8,29,-0.5675675675675675,37,-0.5675675675675675
W2399956932,2015,IJCAI,0,0,,0,
W2497473102,2015,IJCAI,4,18,-0.6363636363636364,22,-0.6363636363636364
W1591399774,2015,INFOCOM,13,53,-0.6060606060606061,66,-0.6060606060606061
W1965771689,2015,KDD,5,17,-0.5454545454545454,22,-0.5454545454545454
W2538862502,2015,MOBICOM,2,0,1.0,2,
W2187207766,2015,NeurIPS,3,30,-0.8181818181818182,33,-0.8181818181818182
W2963297691,2015,NeurIPS,5,43,-0.7916666666666666,48,-0.7916666666666666
W1608999459,2015,NSDI,104,96,0.04,200,0.04
W1980568117,2015,NSDI,8,40,-0.6666666666666666,48,-0.6666666666666666
W1642392512,2015,NSDI,11,69,-0.725,80,-0.725
W2061091230,2015,PLDI,11,86,-0.7731958762886598,97,-0.7731958762886598
W2037037228,2015,PLDI,1,27,-0.9285714285714286,28,-0.9285714285714286
W2003164052,2015,PLDI,10,68,-0.7435897435897436,78,-0.7435897435897436
W2070021346,2015,PODS,2,6,-0.5,8,
W2580339477,2015,S&P,2,9,-0.6363636363636364,11,-0.6363636363636364
W1536141561,2015,S&P,8,37,-0.6444444444444445,45,-0.6444444444444445
W2094739364,2015,SIGCOMM,24,100,-0.6129032258064516,124,-0.6129032258064516
W2070299948,2015,SIGIR,4,38,-0.8095238095238095,42,-0.8095238095238095
W3212975581,2015,SIGMETRICS,7,16,-0.391304347826087,23,-0.391304347826087
W2092799168,2015,SIGMOD,25,88,-0.5575221238938053,113,-0.5575221238938053
W2565184432,2015,SODA,13,0,1.0,13,1.0
W2902547091,2015,SOSP,4,10,-0.4285714285714285,14,-0.4285714285714285
W2073742357,2015,SOSP,9,120,-0.8604651162790697,129,-0.8604651162790697
W2008949474,2015,SOSP,17,28,-0.2444444444444444,45,-0.2444444444444444
W2082224527,2015,STOC,0,27,-1.0,27,-1.0
W2031923588,2015,STOC,18,82,-0.64,100,-0.64
W2033498419,2015,STOC,7,33,-0.65,40,-0.65
W2197150605,2015,UIST,10,59,-0.7101449275362319,69,-0.7101449275362319
W2176017127,2015,UIST,20,112,-0.696969696969697,132,-0.696969696969697
W2271345687,2015,UIST,24,46,-0.3142857142857143,70,-0.3142857142857143
W2269738476,2015,VLDB,63,137,-0.37,200,-0.37
W2141990617,2015,WWW,10,34,-0.5454545454545454,44,-0.5454545454545454
W151167705,2014,AAAI,8,37,-0.6444444444444445,45,-0.6444444444444445
W2251682575,2014,ACL,61,139,-0.39,200,-0.39
W2137864660,2014,CHI,71,60,0.0839694656488549,131,0.0839694656488549
W2005511465,2014,CHI,5,19,-0.5833333333333334,24,-0.5833333333333334
W2081933842,2014,CHI,7,22,-0.5172413793103449,29,-0.5172413793103449
W2005996634,2014,CHI,5,42,-0.7872340425531915,47,-0.7872340425531915
W2094690640,2014,CHI,27,61,-0.3863636363636363,88,-0.3863636363636363
W2155058526,2014,CHI,10,190,-0.9,200,-0.9
