author_id,author_name,career_stage,award_year,first_pub_year,pubs_before,pubs_after,pubs_per_year_before,pubs_per_year_after,pub_lift,cites_before,cites_after,cites_per_year_before,cites_per_year_after,citation_lift
https://openalex.org/A5075359884,Sylvia Simioni,Junior,2018,2018.0,0,1,0.0,0.3333333333333333,0.3333333333333333,0,38,0.0,12.666666666666666,12.666666666666666
https://openalex.org/A5086921313,Abraham Mhaidli,Senior,2018,1970.0,1,4,0.3333333333333333,1.3333333333333333,1.0,0,194,0.0,64.66666666666667,64.66666666666667
https://openalex.org/A5032452724,Kentaro Toyama,Senior,2001,1963.0,18,20,6.0,6.666666666666667,0.6666666666666666,2442,6560,814.0,2186.6666666666665,1372.6666666666667
https://openalex.org/A5061205711,Florian Schaub,Senior,2018,1851.0,29,44,9.666666666666666,14.666666666666666,5.0,2334,1760,778.0,586.6666666666666,-191.33333333333334
https://openalex.org/A5035195609,Sean Peacock,Junior,2018,2016.0,5,5,1.6666666666666667,1.6666666666666667,0.0,5,22,1.6666666666666667,7.333333333333333,5.666666666666667
https://openalex.org/A5064563429,Robert H. Anderson,Senior,2018,1962.0,3,8,1.0,2.6666666666666665,1.6666666666666667,6,62,2.0,20.666666666666668,18.666666666666668
https://openalex.org/A5061115418,Clara Crivellaro,Junior,2018,2014.0,12,19,4.0,6.333333333333333,2.3333333333333335,466,312,155.33333333333334,104.0,-51.333333333333336
https://openalex.org/A5012652561,Mark Díaz,Senior,2018,2003.0,1,20,0.3333333333333333,6.666666666666667,6.333333333333333,60,191,20.0,63.666666666666664,43.666666666666664
https://openalex.org/A5034891790,Isaac Johnson,Senior,2018,2004.0,11,29,3.6666666666666665,9.666666666666666,6.0,532,250,177.33333333333334,83.33333333333333,-94.0
https://openalex.org/A5014790341,Amanda Lazar,Senior,2017,1973.0,17,26,5.666666666666667,8.666666666666666,3.0,967,1536,322.3333333333333,512.0,189.66666666666666
https://openalex.org/A5066173469,Anne Marie Piper,Senior,2017,1961.0,21,24,7.0,8.0,1.0,1055,2412,351.6666666666667,804.0,452.3333333333333
https://openalex.org/A5061173804,Darren Gergle,Senior,2010,1998.0,18,29,6.0,9.666666666666666,3.6666666666666665,1100,4343,366.6666666666667,1447.6666666666667,1081.0
https://openalex.org/A5021296068,Lydia Michie,Junior,2018,2017.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
