paper_openalex_id,paper_title,conference,award_year,author_id,author_name,author_position
https://openalex.org/W2795975316,Addressing Age-Related Bias in Sentiment Analysis,CHI,2018,https://openalex.org/A5014790341,Amanda Lazar,middle
https://openalex.org/W2795975316,Addressing Age-Related Bias in Sentiment Analysis,CHI,2018,https://openalex.org/A5066173469,Anne Marie Piper,middle
https://openalex.org/W2795975316,Addressing Age-Related Bias in Sentiment Analysis,CHI,2018,https://openalex.org/A5061173804,Darren Gergle,last
https://openalex.org/W2795736453,"From Her Story, to Our Story: Digital Storytelling as Public Engagement around Abortion Rights Advocacy in Ireland",CHI,2018,https://openalex.org/A5021296068,Lydia Michie,first
https://openalex.org/W2795736453,"From Her Story, to Our Story: Digital Storytelling as Public Engagement around Abortion Rights Advocacy in Ireland",CHI,2018,https://openalex.org/A5078308184,Madeline Balaam,middle
https://openalex.org/W2795736453,"From Her Story, to Our Story: Digital Storytelling as Public Engagement around Abortion Rights Advocacy in Ireland",CHI,2018,https://openalex.org/A5001232416,John McCarthy,middle
https://openalex.org/W2795736453,"From Her Story, to Our Story: Digital Storytelling as Public Engagement around Abortion Rights Advocacy in Ireland",CHI,2018,https://openalex.org/A5032939256,Timur Osadchiy,middle
https://openalex.org/W2795736453,"From Her Story, to Our Story: Digital Storytelling as Public Engagement around Abortion Rights Advocacy in Ireland",CHI,2018,https://openalex.org/A5057143988,Kellie Morrissey,last
https://openalex.org/W2795908329,Gender Recognition or Gender Reductionism?: The Social Implications of Embedded Gender Recognition Systems,CHI,2018,https://openalex.org/A5031349141,Foad Hamidi,first
https://openalex.org/W2795908329,Gender Recognition or Gender Reductionism?: The Social Implications of Embedded Gender Recognition Systems,CHI,2018,https://openalex.org/A5084538652,Morgan Klaus Scheuerman,middle
https://openalex.org/W2795908329,Gender Recognition or Gender Reductionism?: The Social Implications of Embedded Gender Recognition Systems,CHI,2018,https://openalex.org/A5026377321,Stacy Branham,last
https://openalex.org/W2795620203,How Relevant are Incidental Power Poses for HCI?,CHI,2018,https://openalex.org/A5074985413,Yvonne Jansen,first
https://openalex.org/W2795620203,How Relevant are Incidental Power Poses for HCI?,CHI,2018,https://openalex.org/A5015615908,Kasper Hornbæk,last
https://openalex.org/W2787712888,Voice Interfaces in Everyday Life,CHI,2018,https://openalex.org/A5063697388,Martin Porcheron,first
https://openalex.org/W2787712888,Voice Interfaces in Everyday Life,CHI,2018,https://openalex.org/A5091627990,Joel E. Fischer,middle
