author_id,display_name,works_count,cited_by_count,h_index,i10_index,first_pub_year_countsbyyear
https://openalex.org/A5047208930,Jelmer P. Borst,122,2644,27,48,2006
https://openalex.org/A5012394116,Robert Xiao,116,2905,30,46,1998
https://openalex.org/A5064158757,Daniel M. Romero,115,4979,27,44,1988
https://openalex.org/A5072922547,Aditya Vashistha,115,1735,25,52,2010
https://openalex.org/A5036119025,Berthold Reinwald,113,2832,26,47,1990
https://openalex.org/A5020500064,Yvette Graham,109,4682,28,43,2006
https://openalex.org/A5112027527,William Thies,109,6162,35,75,1989
https://openalex.org/A5079469658,Wesley Willett,103,2761,25,45,2005
https://openalex.org/A5053153176,Matthias Böehm,102,1544,19,28,2008
https://openalex.org/A5030075645,Keith Vertanen,84,1803,21,31,1997
https://openalex.org/A5021777354,Sarita Schoenebeck,82,5667,36,54,2013
https://openalex.org/A5074416632,Frederick Reiss,78,3297,23,38,1912
https://openalex.org/A5112242537,Ahmed Elgohary,75,3411,22,29,1974
https://openalex.org/A5088559756,Patrik Jonell,73,455,10,10,2012
https://openalex.org/A5049952020,Florian Block,72,1083,18,27,2004
https://openalex.org/A5078625191,Florian Pommerening,63,552,12,15,2009
https://openalex.org/A5039125132,Gierad Laput,56,2627,26,39,2012
https://openalex.org/A5064547400,Tawfiq Ammari,56,1609,17,20,2013
https://openalex.org/A5021336998,Gabriele Röger,51,865,15,18,2006
https://openalex.org/A5051977325,Moon-Hwan Lee,46,362,12,12,1998
https://openalex.org/A5016501970,Luke Vilnis,35,2006,14,15,2013
https://openalex.org/A5050003935,James Hammerman,30,432,8,7,1995
https://openalex.org/A5109263062,Shyam Reyal,24,328,6,4,2015
https://openalex.org/A5033561735,Teo Babic,9,248,7,6,2016
https://openalex.org/A5074887814,Kate Silverstein,7,19,3,0,2013
https://openalex.org/A5065073074,Seijin Cha,6,68,3,2,2015
https://openalex.org/A5032788742,Ali Parsaei,4,255,1,1,2016
https://openalex.org/A5013958366,Haythem Memmi,3,146,3,2,2013
https://openalex.org/A5013050933,Justin Emge,2,133,2,1,2014
https://openalex.org/A5087787572,Hubert Egger,1,66,1,1,2016
https://openalex.org/A5054610664,John M. Carroll,1476,36348,88,504,1899
https://openalex.org/A5102719098,Peter Newman,855,20375,64,233,1958
https://openalex.org/A5026971062,Alan Dix,624,11060,49,188,1984
https://openalex.org/A5083871571,Mary Beth Rosson,383,14578,60,195,1982
https://openalex.org/A5050506400,Carmel Majidi,361,25335,85,222,2004
https://openalex.org/A5032530421,Pamela Wiśniewski,313,5803,43,144,2011
https://openalex.org/A5011928142,Elizabeth Davidson,311,5617,34,72,1960
https://openalex.org/A5031519539,Adrian Friday,249,8717,45,128,1977
https://openalex.org/A5069105456,Jürgen Steimle,212,5254,42,86,2007
https://openalex.org/A5019033794,Gilles Bailly,206,3934,33,61,1978
https://openalex.org/A5089605137,Matthew Kay,204,5192,35,84,1974
https://openalex.org/A5043431594,Heng Xu,196,9723,43,88,1984
https://openalex.org/A5034061494,Stephen L. Vargo,189,59123,69,116,1998
https://openalex.org/A5042409370,Jörg Müller,172,4920,37,86,1982
https://openalex.org/A5052798169,Michael Barrett,154,6630,36,60,1995
https://openalex.org/A5007483171,Amy Hurst,148,4375,34,77,1996
https://openalex.org/A5108400576,J. Christiansen,132,3070,22,32,1922
https://openalex.org/A5038803238,Scott P. Robertson,128,1667,20,38,1978
https://openalex.org/A5109811954,Chia Shen,122,5035,38,70,1986
https://openalex.org/A5019767181,Cynthia Matuszek,117,2963,22,26,2005
https://openalex.org/A5047038293,Craig Stewart,112,1665,23,37,1975
https://openalex.org/A5018629002,Judy Diamond,103,2194,28,38,1957
https://openalex.org/A5048101000,Bryan Semaan,101,2615,28,55,2008
https://openalex.org/A5008573786,Jaideep Prabhu,100,9185,34,44,1998
https://openalex.org/A5018177929,Mike Hazas,94,3023,29,52,2002
https://openalex.org/A5043206670,Maria Angela Ferrario,82,1287,20,36,1991
https://openalex.org/A5113823922,Saijing Zheng,67,1072,16,24,2007
https://openalex.org/A5058190042,E. Margaret Evans,58,3432,31,37,1925
https://openalex.org/A5015147785,Amy Spiegel,54,1019,15,21,1973
https://openalex.org/A5035482300,Megan Hofmann,48,1361,18,20,2014
https://openalex.org/A5014238668,Haiyan Jia,37,1544,15,19,2009
https://openalex.org/A5068828035,Moshe Mahler,35,1172,13,16,1972
https://openalex.org/A5059093960,Will Simm,31,665,14,15,2005
https://openalex.org/A5065621152,Erin Buehler,31,887,10,11,1932
https://openalex.org/A5000906180,Martin Weigel,29,1186,11,12,2010
https://openalex.org/A5024841000,Dieter Eberle,27,237,8,7,1963
https://openalex.org/A5064398083,Abdullah Ali,25,659,13,14,2015
https://openalex.org/A5100461422,Na Wang,20,267,7,7,2006
https://openalex.org/A5103414046,Tong Lu,20,1277,10,10,2013
https://openalex.org/A5056557824,Brenda Phillips,19,622,10,10,2007
