metric,career_stage,n,mean,ci_lower,ci_upper,median
cited_by_count,Junior,760,2214.85,1876.206447368421,2628.945592105263,767.5
cited_by_count,Senior,1941,11821.450798557446,10644.65826893354,13104.509479649663,4885.0
citations_per_year,Junior,760,123.93983187501914,106.74035179188857,144.7356359552415,50.91666666666667
citations_per_year,Senior,1941,352.8102051601673,309.39367080533805,401.68608357577716,144.65217391304347
works_count,Junior,760,47.94868421052632,43.36569078947368,53.209111842105244,23.0
works_count,Senior,1941,204.62493560020607,195.38773827923748,214.21004636785162,151.0
works_per_year,Junior,760,2.8416006509256997,2.5844655165678065,3.1148271298837833,1.4460227272727273
works_per_year,Senior,1941,5.932905967275387,5.679875281459674,6.201372175836217,4.5
