author_id,treatment,rel_year,works,citations
https://openalex.org/A5000705557,0,5,6,90
https://openalex.org/A5000711683,0,-5,11,295
https://openalex.org/A5000711683,0,-4,5,120
https://openalex.org/A5000711683,0,-3,3,23
https://openalex.org/A5000711683,0,-2,4,100
https://openalex.org/A5000711683,0,-1,11,557
https://openalex.org/A5000711683,0,0,10,346
https://openalex.org/A5000711683,0,1,12,567
https://openalex.org/A5000711683,0,2,13,499
https://openalex.org/A5000711683,0,3,14,291
https://openalex.org/A5000711683,0,4,7,106
https://openalex.org/A5000711683,0,5,5,83
https://openalex.org/A5000767141,0,-5,28,831
https://openalex.org/A5000767141,0,-4,36,1811
https://openalex.org/A5000767141,0,-3,28,754
https://openalex.org/A5000767141,0,-2,32,1864
https://openalex.org/A5000767141,0,-1,32,908
https://openalex.org/A5000767141,0,0,34,1676
https://openalex.org/A5000767141,0,1,45,1693
https://openalex.org/A5000767141,0,2,19,816
https://openalex.org/A5000767141,0,3,21,904
https://openalex.org/A5000767141,0,4,16,217
https://openalex.org/A5000767141,0,5,11,104
https://openalex.org/A5000796744,0,-2,1,23
https://openalex.org/A5000796744,0,0,4,219
https://openalex.org/A5000796744,0,1,4,65
https://openalex.org/A5000796744,0,2,3,241
https://openalex.org/A5000796744,0,3,1,1
https://openalex.org/A5000796744,0,4,1,0
https://openalex.org/A5000796744,0,5,3,29
https://openalex.org/A5000876822,1,0,3,216
https://openalex.org/A5000876822,1,1,3,23
https://openalex.org/A5000876822,1,2,3,115
https://openalex.org/A5000893188,1,-2,3,49
https://openalex.org/A5000893188,1,-1,4,89
https://openalex.org/A5000893188,1,0,7,105
https://openalex.org/A5000893188,1,1,4,61
https://openalex.org/A5000893188,1,2,9,195
https://openalex.org/A5000893188,1,3,5,109
https://openalex.org/A5000893188,1,4,9,171
https://openalex.org/A5000893188,1,5,10,517
https://openalex.org/A5000906180,1,-5,1,4
https://openalex.org/A5000906180,1,-3,1,4
https://openalex.org/A5000906180,1,-2,2,7
https://openalex.org/A5000906180,1,-1,1,117
https://openalex.org/A5000906180,1,0,2,362
https://openalex.org/A5000906180,1,1,1,0
https://openalex.org/A5000906180,1,2,4,233
https://openalex.org/A5000906180,1,4,1,1
https://openalex.org/A5000906180,1,5,5,340
https://openalex.org/A5000977391,0,-5,4,184
https://openalex.org/A5000977391,0,-4,2,71
https://openalex.org/A5000977391,0,-3,3,407
https://openalex.org/A5000977391,0,-2,4,581
https://openalex.org/A5000977391,0,-1,4,329
https://openalex.org/A5000977391,0,0,8,440
https://openalex.org/A5000977391,0,1,4,250
https://openalex.org/A5000977391,0,2,7,138
https://openalex.org/A5000977391,0,3,10,474
https://openalex.org/A5000977391,0,4,7,89
https://openalex.org/A5000977391,0,5,10,564
https://openalex.org/A5001035442,0,-5,7,1320
https://openalex.org/A5001035442,0,-4,7,241
https://openalex.org/A5001035442,0,-3,9,1289
https://openalex.org/A5001035442,0,-2,12,1002
https://openalex.org/A5001035442,0,-1,18,480
https://openalex.org/A5001035442,0,0,14,983
https://openalex.org/A5001035442,0,1,11,421
https://openalex.org/A5001035442,0,2,7,494
https://openalex.org/A5001035442,0,3,3,463
https://openalex.org/A5001035442,0,4,5,13
https://openalex.org/A5001035442,0,5,3,75
https://openalex.org/A5001041485,0,-5,13,228
https://openalex.org/A5001041485,0,-4,9,107
https://openalex.org/A5001041485,0,-3,15,173
https://openalex.org/A5001041485,0,-2,16,455
https://openalex.org/A5001041485,0,-1,9,144
https://openalex.org/A5001041485,0,0,7,217
https://openalex.org/A5001041485,0,1,7,21
https://openalex.org/A5001041485,0,2,8,45
https://openalex.org/A5001041485,0,3,5,55
https://openalex.org/A5001041485,0,4,5,166
https://openalex.org/A5001041485,0,5,6,257
https://openalex.org/A5001043287,1,-2,1,35
https://openalex.org/A5001043287,1,0,1,14
https://openalex.org/A5001043287,1,3,1,60
https://openalex.org/A5001159571,1,-4,2,5
https://openalex.org/A5001159571,1,-3,6,31
https://openalex.org/A5001159571,1,-2,2,67
https://openalex.org/A5001159571,1,-1,8,87
https://openalex.org/A5001159571,1,0,10,751
https://openalex.org/A5001159571,1,1,4,39
https://openalex.org/A5001159571,1,2,4,36
https://openalex.org/A5001159571,1,3,4,268
https://openalex.org/A5001159571,1,4,3,144
https://openalex.org/A5001159571,1,5,8,215
https://openalex.org/A5001232416,0,-5,9,1147
https://openalex.org/A5001232416,0,-4,8,253
https://openalex.org/A5001232416,0,-3,11,184
https://openalex.org/A5001232416,0,-2,6,122
https://openalex.org/A5001232416,0,-1,8,142
https://openalex.org/A5001232416,0,0,9,448
https://openalex.org/A5001232416,0,1,9,133
https://openalex.org/A5001232416,0,2,3,32
https://openalex.org/A5001232416,0,3,4,57
https://openalex.org/A5001232416,0,4,4,75
https://openalex.org/A5001232416,0,5,2,12
https://openalex.org/A5001483226,0,-5,22,1219
https://openalex.org/A5001483226,0,-4,12,1836
https://openalex.org/A5001483226,0,-3,20,470
https://openalex.org/A5001483226,0,-2,18,495
https://openalex.org/A5001483226,0,-1,32,477
https://openalex.org/A5001483226,0,0,43,1316
https://openalex.org/A5001483226,0,1,27,310
https://openalex.org/A5001483226,0,2,34,578
https://openalex.org/A5001483226,0,3,26,96
https://openalex.org/A5001483226,0,4,22,154
https://openalex.org/A5001483226,0,5,16,67
https://openalex.org/A5001484153,0,-3,4,25
https://openalex.org/A5001484153,0,-2,1,5
https://openalex.org/A5001484153,0,-1,3,98
https://openalex.org/A5001484153,0,0,8,622
https://openalex.org/A5001484153,0,1,6,90
https://openalex.org/A5001484153,0,2,5,8
https://openalex.org/A5001484153,0,3,5,26
https://openalex.org/A5001484153,0,4,1,0
https://openalex.org/A5001504785,0,-5,5,5
https://openalex.org/A5001504785,0,-3,3,10
https://openalex.org/A5001504785,0,-2,3,134
https://openalex.org/A5001504785,0,-1,3,151
https://openalex.org/A5001504785,0,0,5,123
https://openalex.org/A5001504785,0,1,3,76
https://openalex.org/A5001504785,0,2,3,6
https://openalex.org/A5001504785,0,3,1,14
https://openalex.org/A5001504785,0,4,3,75
https://openalex.org/A5001504785,0,5,1,0
https://openalex.org/A5001529504,0,-5,13,1451
https://openalex.org/A5001529504,0,-4,15,996
https://openalex.org/A5001529504,0,-3,10,1249
https://openalex.org/A5001529504,0,-2,14,593
https://openalex.org/A5001529504,0,-1,22,1003
https://openalex.org/A5001529504,0,0,30,1355
https://openalex.org/A5001529504,0,1,46,1759
https://openalex.org/A5001529504,0,2,68,6795
https://openalex.org/A5001529504,0,3,70,3385
https://openalex.org/A5001529504,0,4,49,2670
https://openalex.org/A5001529504,0,5,59,605
https://openalex.org/A5001534492,0,-5,5,505
https://openalex.org/A5001534492,0,-4,7,431
https://openalex.org/A5001534492,0,-3,7,896
https://openalex.org/A5001534492,0,-2,19,943
https://openalex.org/A5001534492,0,-1,14,1260
https://openalex.org/A5001534492,0,0,21,1248
https://openalex.org/A5001534492,0,1,4,1195
https://openalex.org/A5001534492,0,2,7,709
https://openalex.org/A5001534492,0,3,7,192
https://openalex.org/A5001534492,0,4,9,322
https://openalex.org/A5001534492,0,5,7,375
https://openalex.org/A5001563585,1,-4,1,28
https://openalex.org/A5001563585,1,-3,1,17
https://openalex.org/A5001563585,1,-2,1,28
https://openalex.org/A5001563585,1,-1,3,91
https://openalex.org/A5001563585,1,0,1,30
https://openalex.org/A5001563585,1,1,3,95
https://openalex.org/A5001563585,1,2,1,31
https://openalex.org/A5001563585,1,3,1,84
https://openalex.org/A5001594573,0,-5,11,2214
https://openalex.org/A5001594573,0,-4,28,38490
https://openalex.org/A5001594573,0,-3,39,9924
https://openalex.org/A5001594573,0,-2,22,3591
https://openalex.org/A5001594573,0,-1,25,2434
https://openalex.org/A5001594573,0,0,35,6144
https://openalex.org/A5001594573,0,1,30,6024
https://openalex.org/A5001594573,0,2,29,1109
https://openalex.org/A5001594573,0,3,29,1276
https://openalex.org/A5001594573,0,4,33,2290
https://openalex.org/A5001594573,0,5,40,1030
https://openalex.org/A5001597905,0,-5,5,891
https://openalex.org/A5001597905,0,-4,2,43
https://openalex.org/A5001597905,0,-3,5,41
https://openalex.org/A5001597905,0,-2,2,5
https://openalex.org/A5001597905,0,-1,2,35
https://openalex.org/A5001597905,0,0,2,377
https://openalex.org/A5001597905,0,1,3,474
https://openalex.org/A5001597905,0,3,2,171
https://openalex.org/A5001597905,0,5,2,111
https://openalex.org/A5001598240,1,-4,1,0
https://openalex.org/A5001598240,1,-2,2,8
https://openalex.org/A5001598240,1,0,3,212
https://openalex.org/A5001598240,1,1,3,39
https://openalex.org/A5001598240,1,2,5,25
https://openalex.org/A5001598240,1,3,3,2
https://openalex.org/A5001598240,1,4,2,57
https://openalex.org/A5001598240,1,5,9,117
https://openalex.org/A5001613449,0,-5,5,23
https://openalex.org/A5001613449,0,-4,3,46
https://openalex.org/A5001613449,0,-3,2,15
https://openalex.org/A5001613449,0,0,1,234
https://openalex.org/A5001613449,0,1,1,5
https://openalex.org/A5001613449,0,2,9,29
https://openalex.org/A5001613449,0,3,6,29
https://openalex.org/A5001613449,0,4,6,33
https://openalex.org/A5001613449,0,5,10,99
https://openalex.org/A5001618396,0,-5,1,0
https://openalex.org/A5001618396,0,-4,1,17
https://openalex.org/A5001618396,0,-2,2,10
https://openalex.org/A5001618396,0,-1,1,0
https://openalex.org/A5001618396,0,0,4,42
https://openalex.org/A5001618396,0,1,5,51
https://openalex.org/A5001618396,0,2,2,70
https://openalex.org/A5001618396,0,5,1,19
https://openalex.org/A5001720469,0,-5,6,77
https://openalex.org/A5001720469,0,-4,3,185
https://openalex.org/A5001720469,0,-3,7,203
https://openalex.org/A5001720469,0,-2,3,25
https://openalex.org/A5001720469,0,-1,3,1
https://openalex.org/A5001720469,0,0,5,1987
