author_id,group,award_year,paper_id,paper_year,relative_year
https://openalex.org/A5063520549,award,2018,W4309394897,2022,4
https://openalex.org/A5063520549,award,2018,W4309397899,2022,4
https://openalex.org/A5063520549,award,2018,W4311538958,2022,4
https://openalex.org/A5063520549,award,2018,W4311538962,2022,4
https://openalex.org/A5063520549,award,2018,W4311538965,2022,4
https://openalex.org/A5063520549,award,2018,W4311538967,2022,4
https://openalex.org/A5063520549,award,2018,W4311539049,2022,4
https://openalex.org/A5063520549,award,2018,W4311539061,2022,4
https://openalex.org/A5063520549,award,2018,W4311539114,2022,4
https://openalex.org/A5063520549,award,2018,W4311539176,2022,4
https://openalex.org/A5063520549,award,2018,W4311539178,2022,4
https://openalex.org/A5063520549,award,2018,W4361230922,2023,5
https://openalex.org/A5063520549,award,2018,W4365600416,2023,5
https://openalex.org/A5063520549,award,2018,W4366215353,2023,5
https://openalex.org/A5063520549,award,2018,W4375870116,2023,5
https://openalex.org/A5063520549,award,2018,W4384652355,2023,5
https://openalex.org/A5063520549,award,2018,W4386302968,2023,5
https://openalex.org/A5063520549,award,2018,W4389599330,2023,5
https://openalex.org/A5063520549,award,2018,W4390100660,2023,5
https://openalex.org/A5068145628,award,2018,W2899462170,2018,0
https://openalex.org/A5068145628,award,2018,W2968339949,2019,1
https://openalex.org/A5068145628,award,2018,W2921534454,2019,1
https://openalex.org/A5068145628,award,2018,W2889674026,2018,0
https://openalex.org/A5068145628,award,2018,W3161339029,2021,3
https://openalex.org/A5068145628,award,2018,W3217687030,2019,1
https://openalex.org/A5068145628,award,2018,W4287183477,2021,3
https://openalex.org/A5091720485,award,2018,W2963557656,2018,0
https://openalex.org/A5091720485,award,2018,W2776514146,2017,-1
https://openalex.org/A5091720485,award,2018,W2981791963,2019,1
https://openalex.org/A5091720485,award,2018,W3013340393,2020,2
https://openalex.org/A5091720485,award,2018,W2963143631,2018,0
https://openalex.org/A5091720485,award,2018,W2787708942,2018,0
https://openalex.org/A5091720485,award,2018,W2736899637,2017,-1
https://openalex.org/A5091720485,award,2018,W2913848079,2019,1
https://openalex.org/A5091720485,award,2018,W2798801120,2018,0
https://openalex.org/A5091720485,award,2018,W2797455600,2018,0
https://openalex.org/A5091720485,award,2018,W3146670357,2021,3
https://openalex.org/A5091720485,award,2018,W2884821828,2018,0
https://openalex.org/A5091720485,award,2018,W2797359501,2017,-1
https://openalex.org/A5091720485,award,2018,W2781899503,2017,-1
https://openalex.org/A5091720485,award,2018,W3091441105,2020,2
https://openalex.org/A5091720485,award,2018,W4299496890,2013,-5
https://openalex.org/A5091720485,award,2018,W4387810229,2023,5
https://openalex.org/A5102012317,award,2018,W2963461515,2017,-1
https://openalex.org/A5102012317,award,2018,W2962992787,2019,1
https://openalex.org/A5102012317,award,2018,W2784669118,2018,0
https://openalex.org/A5102012317,award,2018,W3161799213,2021,3
https://openalex.org/A5102012317,award,2018,W3090910431,2020,2
https://openalex.org/A5102012317,award,2018,W3133963303,2021,3
https://openalex.org/A5102012317,award,2018,W4306771920,2022,4
https://openalex.org/A5102012317,award,2018,W3197536693,2021,3
https://openalex.org/A5102012317,award,2018,W3200506265,2021,3
https://openalex.org/A5102012317,award,2018,W3122252170,2020,2
https://openalex.org/A5102012317,award,2018,W3168587836,2021,3
https://openalex.org/A5102012317,award,2018,W3046919285,2020,2
https://openalex.org/A5102012317,award,2018,W2964240723,2019,1
https://openalex.org/A5102012317,award,2018,W4312458120,2022,4
https://openalex.org/A5102012317,award,2018,W4313563521,2022,4
https://openalex.org/A5102012317,award,2018,W4389159189,2023,5
https://openalex.org/A5102012317,award,2018,W2899424311,2018,0
https://openalex.org/A5102012317,award,2018,W2989724224,2019,1
https://openalex.org/A5102012317,award,2018,W3014394502,2020,2
https://openalex.org/A5102012317,award,2018,W2933448476,2019,1
https://openalex.org/A5102012317,award,2018,W4225594804,2022,4
https://openalex.org/A5102012317,award,2018,W4281951480,2022,4
https://openalex.org/A5102012317,award,2018,W4313563659,2022,4
https://openalex.org/A5102012317,award,2018,W2532345058,2016,-2
https://openalex.org/A5102012317,award,2018,W4224437660,2022,4
https://openalex.org/A5102012317,award,2018,W4389158375,2023,5
https://openalex.org/A5102012317,award,2018,W4388483029,2023,5
https://openalex.org/A5102012317,award,2018,W2932089240,2019,1
https://openalex.org/A5102012317,award,2018,W4283169945,2022,4
https://openalex.org/A5102012317,award,2018,W4206542480,2021,3
https://openalex.org/A5102012317,award,2018,W4211026630,2021,3
https://openalex.org/A5102012317,award,2018,W4384026689,2023,5
https://openalex.org/A5102012317,award,2018,W4212855174,2021,3
https://openalex.org/A5102012317,award,2018,W4290652245,2022,4
https://openalex.org/A5102012317,award,2018,W2598353968,2016,-2
https://openalex.org/A5102012317,award,2018,W2799665171,2018,0
https://openalex.org/A5102012317,award,2018,W3187496290,2021,3
https://openalex.org/A5102012317,award,2018,W3005003168,2018,0
https://openalex.org/A5102012317,award,2018,W2762072470,2017,-1
https://openalex.org/A5102012317,award,2018,W3019109115,2020,2
https://openalex.org/A5102012317,award,2018,W2913329778,2019,1
https://openalex.org/A5102012317,award,2018,W3130237582,2021,3
https://openalex.org/A5102012317,award,2018,W3017321024,2020,2
https://openalex.org/A5102012317,award,2018,W2911482613,2019,1
https://openalex.org/A5102012317,award,2018,W2995229924,2019,1
