paper_id,paper_year,cd5,ni,nj
W3032129786,2020,0.25,5,3
W2942665346,2019,-0.3333333333333333,1,2
W4387344883,2023,0.0,2,2
W2598818515,2015,0.0,1,1
W2610215278,2017,-0.56,11,39
W2414704464,2016,-0.24,19,31
W2611824095,2017,-0.44,14,36
W2292030542,2016,0.1875,19,13
W2795442664,2018,-0.24444444444444444,17,28
W2980669002,2019,0.7419354838709677,27,4
W2798517209,2018,0.4444444444444444,13,5
W3028701087,2020,1.0,3,0
W3081626970,2020,0.0,1,1
W3205880672,2021,0.0,1,1
W4205868649,2021,1.0,1,0
W2795552328,2018,-0.56,11,39
W3163469193,2021,-0.24,19,31
W3158839228,2021,-0.2,16,24
W3004491547,2020,-0.92,2,48
W4225088767,2022,-0.7575757575757576,4,29
W4362609983,2023,-0.02857142857142857,17,18
W3030399695,2020,-0.08,23,27
W4308450971,2022,0.7777777777777778,8,1
W3119940315,2021,-0.56,11,39
W2995482541,2020,-0.48,13,37
W3028953052,2020,-0.3877551020408163,15,34
W2898456233,2018,-0.3939393939393939,10,23
W2952910435,2019,-0.5862068965517241,6,23
W3163492354,2021,-0.4,12,28
W2809761957,2018,0.047619047619047616,11,10
W3031065629,2020,-0.1111111111111111,12,15
W3138919596,2021,-0.7222222222222222,5,31
W4280492076,2022,-0.6190476190476191,4,17
W4312646439,2022,-0.8,2,18
W3004994102,2020,-0.47368421052631576,5,14
W4385970069,2023,-0.5555555555555556,4,14
W4362452224,2023,-0.4,3,7
W4362564160,2023,1.0,3,0
W4388297913,2023,-0.6666666666666666,1,5
W3004476266,2020,-0.7142857142857143,3,18
W2531591332,2016,-0.2,4,6
W2415315904,2016,-1.0,0,3
W3029899401,2020,-0.6666666666666666,2,10
W3162770778,2021,-1.0,0,9
W3013672613,2020,1.0,7,0
W3032463948,2020,1.0,4,0
W4387868928,2023,1.0,1,0
W3162177365,2021,-0.14285714285714285,3,4
W2943074057,2019,0.16666666666666666,7,5
W2796192482,2018,0.5,6,2
W2071124076,2015,0.3333333333333333,4,2
W3163921267,2021,-1.0,0,8
W3207580283,2021,0.0,2,2
W4225100126,2022,1.0,4,0
W4360978726,2023,1.0,3,0
W3163623707,2021,-1.0,0,2
W3178084552,2020,0.0,1,1
W2972547812,2019,-0.3333333333333333,1,2
W4225116129,2022,-0.3333333333333333,1,2
W4312960779,2022,-1.0,0,1
W3029689488,2020,0.2,3,2
W4226133264,2022,1.0,1,0
W4362682557,2022,0.0,1,1
W2982688518,2019,1.0,3,0
W2795651511,2018,-0.72,7,43
W3000319055,2019,,0,0
W2952618410,2019,-0.7,6,34
W4379374844,2023,-0.3333333333333333,1,2
W3205497516,2021,-0.48717948717948717,10,29
W4225125037,2022,-0.42857142857142855,2,5
W2807754575,2018,-1.0,0,7
W3133938580,2021,1.0,10,0
W4225136138,2022,-0.5,1,3
W2603245662,2017,0.2,3,2
W2796034586,2018,-0.2,20,30
W2941111231,2019,-0.56,11,39
W3163763835,2021,-0.56,11,39
W4225154064,2022,-0.6190476190476191,8,34
W3028989981,2020,-0.375,10,22
W3207800640,2021,-0.5135135135135135,9,28
W3031360622,2020,-0.391304347826087,7,16
W3120070483,2021,-0.2,10,15
W2984015578,2019,-0.8823529411764706,1,16
W4224982662,2022,-0.47368421052631576,5,14
W4387606040,2023,-0.125,7,9
W4386831237,2023,-0.4,3,7
W4366548790,2023,-1.0,0,4
W4309618927,2022,0.5,6,2
W3161501076,2021,-0.4,6,14
W3038411287,2020,0.375,11,5
W3203920965,2021,-0.25,6,10
W4283453847,2022,-0.8461538461538461,1,12
W3115489492,2020,-0.25,3,5
W4309618886,2022,-0.25,3,5
W4372215942,2022,0.0,3,3
W4287854781,2022,0.0,2,2
W2909601774,2019,-0.5,3,9
W4372215914,2022,0.0,3,3
W2795953912,2018,-0.5172413793103449,7,22
W2406761573,2016,-0.8333333333333334,1,11
W2998230689,2018,1.0,1,0
W4224984058,2022,-1.0,0,7
W2888580382,2018,-0.64,9,41
W2963124215,2018,-1.0,0,50
W1634345967,2015,-1.0,0,6
W2796036215,2022,0.0,8,8
W2745079264,2018,-0.3333333333333333,2,4
W2795984943,2018,1.0,5,0
W2952132726,2021,-1.0,0,3
W4224925655,2022,1.0,4,0
W2894938627,2018,1.0,1,0
W4299920306,2018,1.0,2,0
W4297624481,2018,1.0,1,0
W2787022562,2018,-1.0,0,50
W2212352090,2015,-1.0,0,38
W3207594656,2022,-0.9259259259259259,1,26
W4378449969,2023,1.0,11,0
W2805609980,2018,-1.0,0,23
W4281885517,2022,-0.8181818181818182,2,20
W2971546537,2019,-1.0,0,16
W3000532033,2022,-1.0,0,3
W4221151500,2022,1.0,11,0
W4376651385,2023,-1.0,0,8
W4376639703,2023,-1.0,0,7
W2950932629,2023,-1.0,0,9
W3134778603,2023,-1.0,0,6
W2730015764,2018,-0.6,1,4
W4313203167,2022,-1.0,0,4
W2585506700,2018,-0.3333333333333333,1,2
W2963360139,2019,0.0,1,1
W4316652258,2023,1.0,2,0
W3171182529,2022,-1.0,0,2
W2579583840,2017,,0,0
W4390100649,2023,-1.0,0,2
W2399996194,2018,,0,0
W3185879744,2021,1.0,1,0
W3184722367,2022,0.0,1,1
W2987833399,2020,-1.0,0,1
W2991167089,2021,1.0,1,0
W3021173367,2020,-1.0,0,1
W3104489128,2020,-1.0,0,1
W3118792892,2021,-1.0,0,1
W3013762603,2021,1.0,1,0
W3134214471,2021,-0.9,1,19
W4385662236,2021,1.0,13,0
W4362177327,2019,1.0,5,0
W4281771739,2022,1.0,2,0
W4385848695,2023,1.0,2,0
W4309394031,2022,1.0,1,0
W4310279740,2022,1.0,1,0
W4385473958,2023,1.0,1,0
W4386044165,2023,1.0,1,0
W2899462170,2018,-0.52,12,38
W2921534454,2019,0.6,4,1
W2968339949,2019,-0.6818181818181818,7,37
W2889674026,2018,0.6666666666666666,5,1
W4285490445,2022,-0.6111111111111112,7,29
W2767894675,2017,-0.5294117647058824,8,26
W2899510293,2018,-0.3939393939393939,10,23
W2006499508,2014,-0.9354838709677419,1,30
W2998839218,2019,-0.6774193548387096,5,26
W2464636023,2016,-0.84,2,23
W2955453180,2019,-0.6363636363636364,4,18
W3121301634,2020,-0.5833333333333334,5,19
W4384305072,2023,-1.0,0,23
W4284698653,2022,-0.5238095238095238,5,16
W4313563670,2022,-0.9047619047619048,1,20
W4384345799,2023,-0.5,5,15
W4284690649,2022,0.0,9,9
W4372259572,2023,-0.6666666666666666,3,15
W4319874037,2023,-0.875,1,15
W4285586713,2022,-0.16666666666666666,5,7
