paper_id,cited_by_count
W4389599330,0
W4390100660,0
W2963557656,487
W2963461515,242
W2962992787,119
W4285490445,36
W2899510293,52
W2767894675,48
W2006499508,46
W2998839218,34
W2464636023,32
W2776514146,25
W3121301634,24
W4321749684,24
W2955453180,23
W4384305072,23
W4284698653,21
W4313563670,21
W4384345799,20
W4284690649,19
W4372259572,18
W4319874037,16
W4285586713,12
W4384026648,12
W4384302765,11
W3042755891,8
W2888184422,23
W2548596251,21
W2790697880,21
W2408009809,20
W2915975968,19
W2981791963,19
W3201477816,12
W3157210774,11
W3162426305,11
W2242607923,9
W2610500547,9
W2241684952,14
W2796264185,14
W2944804155,10
W3189632290,8
W2597276661,7
W2630360502,7
W4206770711,6
W2794854061,5
W3043159448,8
W2753999589,5
W2779927761,4
W2807463475,4
W2980293941,4
W4232906084,4
W4287882631,4
W4387544206,4
W2174588258,3
W2964234832,3
W4312680031,2
W3131396227,3
W4318153987,1
W2554773066,4
W2527970488,3
W2755242969,3
W3013340393,3
W3205337276,1
W4282833109,1
W2963143631,1192
W2787708942,1167
W2736899637,684
W2913848079,581
W2798801120,326
W2797455600,119
W3146670357,103
W2884821828,85
W2913878278,36
W2797359501,25
W2891057995,22
W3110807238,20
W2949191696,8
W3034422833,7
W2781899503,2
W2888852584,2
W3012385420,2
W2953000857,1
W3018822997,1
W3043276378,1
W4295124790,1
W2186914504,0
W2371890188,0
W2793391596,0
W2899072788,0
W2905034972,0
W3091441105,0
W3199858794,0
W3217687030,0
W4250818827,0
W4256541777,0
W4287183477,0
W4291324096,0
W4297978822,0
W4299496890,0
W4386621628,0
W4387810229,0
W4388212438,0
W2340897893,11729
W2784669118,113
W2795338679,89
W2509033610,88
W2740981432,88
W2357064193,84
W3161799213,84
W3090910431,70
W3133963303,69
W4306771920,68
W3197536693,65
W3200506265,64
W3027212681,54
W3122252170,54
W3168587836,50
W3046919285,47
W2964240723,44
W4312458120,38
W4313563521,30
W4389159189,29
W2899424311,74
W2989724224,56
W3014394502,49
W2794694213,44
W2586838877,43
W2517910349,39
W2933448476,39
W2792918773,38
W2347059126,36
W2896744621,36
W2888230423,35
W2954990002,30
W3006458758,30
W3089663604,30
W2953828322,28
W4225594804,27
W4281951480,23
W4313563659,22
W2532345058,20
W4224437660,19
W4389158375,16
W2620798004,14
W4388483029,14
W3120547716,7
W2884017574,26
W2726007014,22
W2932089240,22
W2955384256,21
W3085581200,18
W3114280329,18
W2464743189,15
W4220845069,13
W2499439150,12
W2726134631,12
W3115607952,11
W2755137195,16
W2955802906,16
W2604394867,12
W2200312682,10
W2752460260,10
W2904836609,10
W4312287124,10
W2398790319,9
W4283169945,7
W3090097128,6
W3090756599,6
W2772272758,5
W2972498997,7
W2946418671,4
W4206542480,4
W4384009783,4
W4211026630,3
W4297857312,3
W4384026689,3
W4212855174,3
W4290652245,3
W2598353968,2
W2908992016,1
W3204782874,1
W3209840356,1
W2739503917,1
W2799665171,16
W3187496290,14
W3005003168,13
W2762072470,9
W3019109115,8
W2913329778,7
W3130237582,7
W3017321024,6
W2911482613,5
W2995229924,5
W2626738193,2
W2950831530,1
W3140733874,1
W4386081214,1
W2799943342,0
W3128117406,0
W3180666529,0
W4301047009,0
