conference,year,title,contents_url
acl,2015,"Proceedings of the 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing of the Asian Federation of Natural Language Processing, ACL 2015, July 26-31, 2015, Beijing, China, Volume 1: Long Papers.",https://dblp.org/db/conf/acl/acl2015-1.html
acl,2016,"Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics, ACL 2016, August 7-12, 2016, Berlin, Germany, Volume 1: Long Papers.",https://dblp.org/db/conf/acl/acl2016-1.html
acl,2017,"Proceedings of the 55th Annual Meeting of the Association for Computational Linguistics, ACL 2017, Vancouver, Canada, July 30 - August 4, Volume 1: Long Papers.",https://dblp.org/db/conf/acl/acl2017-1.html
acl,2018,"Proceedings of the 56th Annual Meeting of the Association for Computational Linguistics, ACL 2018, Melbourne, Australia, July 15-20, 2018, Volume 1: Long Papers.",https://dblp.org/db/conf/acl/acl2018-1.html
chi,2000,"Proceedings of the CHI 2000 Conference on Human factors in computing systems, The Hague, The Netherlands, April 1-6, 2000.",https://dblp.org/db/conf/chi/chi2000.html
chi,2001,"Proceedings of the CHI 2001 Conference on Human Factors in Computing Systems, Seattle, WA, USA, March 31 - April 5, 2001.",https://dblp.org/db/conf/chi/chi2001.html
chi,2002,"Proceedings of the CHI 2002 Conference on Human Factors in Computing Systems: Changing our World, Changing ourselves, Minneapolis, Minnesota, USA, April 20-25, 2002.",https://dblp.org/db/conf/chi/chi2002.html
chi,2003,"Proceedings of the 2003 Conference on Human Factors in Computing Systems, CHI 2003, Ft. Lauderdale, Florida, USA, April 5-10, 2003.",https://dblp.org/db/conf/chi/chi2003.html
chi,2004,"Proceedings of the 2004 Conference on Human Factors in Computing Systems, CHI 2004, Vienna, Austria, April 24 - 29, 2004.",https://dblp.org/db/conf/chi/chi2004.html
chi,2005,"Proceedings of the 2005 Conference on Human Factors in Computing Systems, CHI 2005, Portland, Oregon, USA, April 2-7, 2005.",https://dblp.org/db/conf/chi/chi2005.html
chi,2006,"Proceedings of the 2006 Conference on Human Factors in Computing Systems, CHI 2006, Montréal, Québec, Canada, April 22-27, 2006.",https://dblp.org/db/conf/chi/chi2006.html
chi,2007,"Proceedings of the 2007 Conference on Human Factors in Computing Systems, CHI 2007, San Jose, California, USA, April 28 - May 3, 2007.",https://dblp.org/db/conf/chi/chi2007.html
chi,2008,"Proceedings of the 2008 Conference on Human Factors in Computing Systems, CHI 2008, 2008, Florence, Italy, April 5-10, 2008.",https://dblp.org/db/conf/chi/chi2008.html
chi,2009,"Proceedings of the 27th International Conference on Human Factors in Computing Systems, CHI 2009, Boston, MA, USA, April 4-9, 2009.",https://dblp.org/db/conf/chi/chi2009.html
chi,2010,"Proceedings of the 28th International Conference on Human Factors in Computing Systems, CHI 2010, Atlanta, Georgia, USA, April 10-15, 2010.",https://dblp.org/db/conf/chi/chi2010.html
chi,2011,"Proceedings of the International Conference on Human Factors in Computing Systems, CHI 2011, Vancouver, BC, Canada, May 7-12, 2011.",https://dblp.org/db/conf/chi/chi2011.html
chi,2012,"CHI Conference on Human Factors in Computing Systems, CHI '12, Austin, TX, USA - May 05 - 10, 2012.",https://dblp.org/db/conf/chi/chi2012.html
chi,2013,"2013 ACM SIGCHI Conference on Human Factors in Computing Systems, CHI '13, Paris, France, April 27 - May 2, 2013.",https://dblp.org/db/conf/chi/chi2013.html
chi,2014,"CHI Conference on Human Factors in Computing Systems, CHI'14, Toronto, ON, Canada - April 26 - May 01, 2014.",https://dblp.org/db/conf/chi/chi2014.html
chi,2015,"Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems, CHI 2015, Seoul, Republic of Korea, April 18-23, 2015.",https://dblp.org/db/conf/chi/chi2015.html
chi,2016,"Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems, San Jose, CA, USA, May 7-12, 2016.",https://dblp.org/db/conf/chi/chi2016.html
chi,2017,"Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems, Denver, CO, USA, May 06-11, 2017.",https://dblp.org/db/conf/chi/chi2017.html
chi,2018,"Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems, CHI 2018, Montreal, QC, Canada, April 21-26, 2018.",https://dblp.org/db/conf/chi/chi2018.html
cikm,2001,"Proceedings of the 2001 ACM CIKM International Conference on Information and Knowledge Management, Atlanta, Georgia, USA, November 5-10, 2001.",https://dblp.org/db/conf/cikm/cikm2001.html
cikm,2002,"Proceedings of the 2002 ACM CIKM International Conference on Information and Knowledge Management, McLean, VA, USA, November 4-9, 2002.",https://dblp.org/db/conf/cikm/cikm2002.html
