conference,year,papers,matched,ambiguous,unmatched,mean_match_score,match_rate
AAAI,2000,233,205,4,24,0.9381648068669528,0.8798283261802575
AAAI,2002,42,39,2,1,0.9854047619047619,0.9285714285714286
