year,conference,paper_title,paper_url,authors
2016,CHI,FlexCase: Enhancing Mobile Interaction with a Flexible Sensing and Display Cover,https://www.semanticscholar.org/paper/d8091cc14d0aed2d7b269954cb4266ce09a62d45,"Christian Rendl, University of Applied Sciences Upper Austria ; et al. David Kim, Microsoft Patrick Parzer, University of Applied Sciences Upper Austria Sean Fanello, Microsoft Martin Zirkl, Institute of Surface Technologies and Photonics Gregor Scheipl, Joanneum Research Forschungsgesellschaft m.b.H Michael Haller, University of Applied Sciences Upper Austria Shahram Izadi, Microsoft"
2016,CHI,Dear Diary: Teens Reflect on Their Weekly Online Risk Experiences,https://www.semanticscholar.org/paper/038a7022fe49414db777498099914318560e9a99,"Pamela Wisniewski, University of Central Florida ; et al. Heng Xu, Pennsylvania State University Mary Beth Rosson, Pennsylvania State University Daniel F. Perkins, Pennsylvania State University John M. Carroll, Pennsylvania State University"
2016,CHI,Understanding and Mitigating the Effects of Device and Cloud Service Design Decisions on the Environmental Footprint of Digital Infrastructure,https://www.semanticscholar.org/paper/bded1890007ac871e470e95135a3bc745e5b19b6,"Chris Preist, University of Bristol ; et al. Daniel Schien, University of Bristol Eli Blevis, Indiana University Bloomington"
2016,CHI,Enhancing Cross-Device Interaction Scripting with Interactive Illustrations,https://www.semanticscholar.org/paper/9266f823aeb982743d20834a5aeebece4d254f9a,"Pei-Yu (Peggy) Chi, University of California, Berkeley ; et al. Yang Li, Google Björn Hartmann, University of California, Berkeley"
2016,CHI,Learn Piano with BACh: An Adaptive Learning Interface that Adjusts Task Difficulty Based on Brain State,https://www.semanticscholar.org/paper/263f4ce7b6f8ad684ec8f77accedbfb77202f016,"Beste F. Yuksel, Tufts University ; et al. Kurt B. Oleson, Tufts University Lane Harrison, Worcester Polytechnic Institute Evan M. Peck, Bucknell University Daniel Afergan, Tufts University Remco Chang, Tufts University Robert JK Jacob, Tufts University"
2016,CHI,Smart Touch: Improving Touch Accuracy for People with Motor Impairments with Template Matching,https://www.semanticscholar.org/paper/4e36e8637a6e0892eb2d6cda79537a5e0b189968,"Martez E. Mott, University of Washington ; et al. Radu-Daniel Vatavu, Ștefan cel Mare University of Suceava Shaun K. Kane, University of Colorado Boulder Jacob O. Wobbrock, University of Washington"
2016,CHI,"Building a Personalized, Auto-Calibrating Eye Tracker from User Interactions",https://www.semanticscholar.org/paper/22b6fad8a72b84ea2b58eafeec084c6c0890c89e,"Michael Xuelin Huang, Hong Kong Polytechnic University ; et al. Tiffany C.K. Kwok, Hong Kong Polytechnic University Grace Ngai, Hong Kong Polytechnic University Stephen C.F. Chan, Hong Kong Polytechnic University Hong Va Leong, Hong Kong Polytechnic University"
2016,CHI,Developing and Validating the User Burden Scale: A Tool for Assessing User Burden in Computing Systems,https://www.semanticscholar.org/paper/01df97006cb76cb513933ac5b3307b5afadcf942,"Hyewon Suh, University of Washington ; et al. Nina Shahriaree, University of Washington Eric B. Hekler, Arizona State University Julie A. Kientz, University of Washington"
2016,CHI,Foraging Among an Overabundance of Similar Variants,https://www.semanticscholar.org/paper/27fdb872558ea94409418ef1831e1bde92d3ab4a,"Sruti Srinivasa Ragavan, Oregon State University ; et al. Sandeep Kaur Kuttal, Oregon State University Charles Hill, Oregon State University Anita Sarma, Oregon State University David Piorkowski, Oregon State University Margaret Burnett, Oregon State University"
2016,CHI,"Finding Email in a Multi-Account, Multi-Device World",https://www.semanticscholar.org/paper/a72e95252f4ebeea6a59d9c5a7d45e071bc0a6ef,"Marta E. Cecchinato, University College London ; et al. Abigail Sellen, Microsoft Milad Shokouhi, Microsoft Gavin Smyth, Microsoft"
