tier,metric,n_pairs,med_junior,med_senior,ci_j_lo,ci_j_hi,ci_s_lo,ci_s_hi,pvalue
Other,citations,176,1.3608982683982684,1.9787055601478993,1.0645833333333334,1.9606233190950801,1.4564002599090318,2.8588957055214723,0.34395757845589625
Top-tier (A*),citations,427,1.703851851851852,2.04506657562308,1.3977062523122457,1.9024929775280899,1.401002538071066,2.5420822385706776,0.9341383754830648
Other,works,176,1.5,1.9027113237639557,1.2523574561403508,1.7550000000000001,1.6047619047619048,2.042105263157895,0.021340860872358185
Top-tier (A*),works,427,1.6557692307692307,1.89124597207304,1.4857142857142858,1.8166666666666667,1.6476744186046512,1.957201086956522,0.010565257609986929
