treatment,n,median_lift_cit,median_lift_works,mean_pre_cit,mean_post_cit
Senior,595,1.6582037871498418,1.7352939013841469,128.2962328800388,264.4612071830689
Junior,603,1.8249999871093752,1.7279998835200185,114.00950801547818,203.10273631840795
