author_id,author_name,award_year,conference,career_age_at_award,author_position,match_route,works_count,cited_by_count,h_index,i10_index,2yr_mean_citedness,first_pub_year,counts_by_year
https://openalex.org/A5011438930,Jessica L. Feuston,2018,CHI,4,2,SS→DOI→OA,21,615,11,13,6.5,2014,"[{""year"": 2014, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 5}, {""year"": 2015, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 52}, {""year"": 2017, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 80}, {""year"": 2018, ""works_count"": 4, ""oa_works_count"": 0, ""cited_by_count"": 162}, {""year"": 2019, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 63}, {""year"": 2020, ""works_count"": 3, ""oa_works_count"": 1, ""cited_by_count"": 116}, {""year"": 2021, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 70}, {""year"": 2022, ""works_count"": 3, ""oa_works_count"": 2, ""cited_by_count"": 50}, {""year"": 2023, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 4}, {""year"": 2024, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 13}]"
https://openalex.org/A5091847639,Caroline Edasis,2018,CHI,2,3,SS→DOI→OA,5,464,5,5,0.0,2016,"[{""year"": 2016, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 123}, {""year"": 2017, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 256}, {""year"": 2018, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 85}]"
https://openalex.org/A5075026385,Miro Mannino,2018,CHI,0,1,SS→DOI→OA,13,126,3,3,0.25,2019,"[{""year"": 2018, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 82}, {""year"": 2019, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 35}, {""year"": 2020, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 5}, {""year"": 2021, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 3}, {""year"": 2024, ""works_count"": 3, ""oa_works_count"": 2, ""cited_by_count"": 1}, {""year"": 2025, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 0}]"
https://openalex.org/A5086240513,Josh Andrés,2018,CHI,3,3,SS→DOI→OA,75,1088,19,26,2.1666666666666665,2015,"[{""year"": 2015, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 11}, {""year"": 2016, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 25}, {""year"": 2018, ""works_count"": 4, ""oa_works_count"": 0, ""cited_by_count"": 199}, {""year"": 2019, ""works_count"": 4, ""oa_works_count"": 3, ""cited_by_count"": 54}, {""year"": 2020, ""works_count"": 16, ""oa_works_count"": 3, ""cited_by_count"": 320}, {""year"": 2021, ""works_count"": 11, ""oa_works_count"": 1, ""cited_by_count"": 286}, {""year"": 2022, ""works_count"": 11, ""oa_works_count"": 7, ""cited_by_count"": 89}, {""year"": 2023, ""works_count"": 8, ""oa_works_count"": 4, ""cited_by_count"": 65}, {""year"": 2024, ""works_count"": 10, ""oa_works_count"": 8, ""cited_by_count"": 32}, {""year"": 2025, ""works_count"": 8, ""oa_works_count"": 4, ""cited_by_count"": 7}]"
https://openalex.org/A5109428307,Jen Liu,2018,CHI,1,1,SS→DOI→OA,20,338,6,4,1.0,2017,"[{""year"": 2017, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 6}, {""year"": 2018, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 212}, {""year"": 2019, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 58}, {""year"": 2020, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 0}, {""year"": 2021, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 44}, {""year"": 2022, ""works_count"": 4, ""oa_works_count"": 1, ""cited_by_count"": 10}, {""year"": 2023, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 2}, {""year"": 2024, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 6}, {""year"": 2025, ""works_count"": 4, ""oa_works_count"": 1, ""cited_by_count"": 0}]"
https://openalex.org/A5103026409,Sharifa Sultana,2018,CHI,0,1,SS→DOI→OA,50,649,13,16,0.44,2018,"[{""year"": 2018, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 178}, {""year"": 2019, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 116}, {""year"": 2020, ""works_count"": 4, ""oa_works_count"": 0, ""cited_by_count"": 80}, {""year"": 2021, ""works_count"": 6, ""oa_works_count"": 1, ""cited_by_count"": 151}, {""year"": 2022, ""works_count"": 8, ""oa_works_count"": 3, ""cited_by_count"": 91}, {""year"": 2023, ""works_count"": 3, ""oa_works_count"": 0, ""cited_by_count"": 22}, {""year"": 2024, ""works_count"": 4, ""oa_works_count"": 2, ""cited_by_count"": 10}, {""year"": 2025, ""works_count"": 7, ""oa_works_count"": 6, ""cited_by_count"": 1}, {""year"": 2026, ""works_count"": 14, ""oa_works_count"": 14, ""cited_by_count"": 0}]"
https://openalex.org/A5091174431,Izabelle Janzen,2018,CHI,2,2,SS→DOI→OA,5,87,3,2,0.0,2016,"[{""year"": 2016, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 33}, {""year"": 2018, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 48}, {""year"": 2022, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 6}]"
https://openalex.org/A5011207998,Urmila Mahadev,2018,FOCS,4,1,SS→DOI→OA,12,309,5,3,0.0,2014,"[{""year"": 2014, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 0}, {""year"": 2015, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 5}, {""year"": 2018, ""works_count"": 7, ""oa_works_count"": 5, ""cited_by_count"": 266}, {""year"": 2021, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 8}, {""year"": 2022, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 30}]"
https://openalex.org/A5112345861,Khot Subhash,2018,FOCS,0,1,SS→DOI→OA,1,71,1,1,0.0,2018,"[{""year"": 2018, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 71}]"
https://openalex.org/A5063520549,Dor Minzer,2018,FOCS,3,2,SS→DOI→OA,104,423,11,12,1.024390243902439,2015,"[{""year"": 2015, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 55}, {""year"": 2017, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 2}, {""year"": 2018, ""works_count"": 5, ""oa_works_count"": 0, ""cited_by_count"": 104}, {""year"": 2019, ""works_count"": 4, ""oa_works_count"": 2, ""cited_by_count"": 24}, {""year"": 2020, ""works_count"": 3, ""oa_works_count"": 3, ""cited_by_count"": 3}, {""year"": 2021, ""works_count"": 9, ""oa_works_count"": 9, ""cited_by_count"": 37}, {""year"": 2022, ""works_count"": 22, ""oa_works_count"": 10, ""cited_by_count"": 88}, {""year"": 2023, ""works_count"": 18, ""oa_works_count"": 14, ""cited_by_count"": 68}, {""year"": 2024, ""works_count"": 23, ""oa_works_count"": 18, ""cited_by_count"": 37}, {""year"": 2025, ""works_count"": 18, ""oa_works_count"": 9, ""cited_by_count"": 5}]"
