author_id,author_name,works_count,cited_by_count,counts_by_year,award_year,conference,treatment
https://openalex.org/A5014823249,Jincheng Mei,29,247,"[{""year"": 2014, ""works_count"": 3, ""oa_works_count"": 2, ""cited_by_count"": 46}, {""year"": 2015, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 2}, {""year"": 2016, ""works_count"": 3, ""oa_works_count"": 1, ""cited_by_count"": 10}, {""year"": 2017, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 22}, {""year"": 2018, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 21}, {""year"": 2019, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 30}, {""year"": 2020, ""works_count"": 5, ""oa_works_count"": 4, ""cited_by_count"": 102}, {""year"": 2021, ""works_count"": 6, ""oa_works_count"": 5, ""cited_by_count"": 13}, {""year"": 2024, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 1}, {""year"": 2025, ""works_count"": 4, ""oa_works_count"": 3, ""cited_by_count"": 0}]",2018,AAAI,1
https://openalex.org/A5069646529,Adhiguna Kuncoro,38,1598,"[{""year"": 2016, ""works_count"": 4, ""oa_works_count"": 4, ""cited_by_count"": 116}, {""year"": 2017, ""works_count"": 4, ""oa_works_count"": 4, ""cited_by_count"": 523}, {""year"": 2018, ""works_count"": 3, ""oa_works_count"": 2, ""cited_by_count"": 212}, {""year"": 2019, ""works_count"": 5, ""oa_works_count"": 5, ""cited_by_count"": 151}, {""year"": 2020, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 65}, {""year"": 2021, ""works_count"": 9, ""oa_works_count"": 9, ""cited_by_count"": 456}, {""year"": 2022, ""works_count"": 4, ""oa_works_count"": 4, ""cited_by_count"": 66}, {""year"": 2023, ""works_count"": 4, ""oa_works_count"": 4, ""cited_by_count"": 9}, {""year"": 2024, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 0}, {""year"": 2026, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 0}]",2018,ACL,1
https://openalex.org/A5032195981,Sang-Gyun An,8,139,"[{""year"": 2017, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 27}, {""year"": 2018, ""works_count"": 4, ""oa_works_count"": 0, ""cited_by_count"": 94}, {""year"": 2020, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 18}]",2018,CHI,1
https://openalex.org/A5075359884,Sylvia Simioni,2,152,"[{""year"": 2018, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 114}, {""year"": 2019, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 38}]",2018,CHI,1
https://openalex.org/A5035195609,Sean Peacock,16,119,"[{""year"": 2016, ""works_count"": 4, ""oa_works_count"": 0, ""cited_by_count"": 3}, {""year"": 2017, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 2}, {""year"": 2018, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 42}, {""year"": 2019, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 4}, {""year"": 2020, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 1}, {""year"": 2021, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 17}, {""year"": 2022, ""works_count"": 5, ""oa_works_count"": 4, ""cited_by_count"": 50}]",2018,CHI,1
https://openalex.org/A5061115418,Clara Crivellaro,59,1193,"[{""year"": 2014, ""works_count"": 4, ""oa_works_count"": 0, ""cited_by_count"": 117}, {""year"": 2015, ""works_count"": 4, ""oa_works_count"": 0, ""cited_by_count"": 110}, {""year"": 2016, ""works_count"": 5, ""oa_works_count"": 3, ""cited_by_count"": 281}, {""year"": 2017, ""works_count"": 3, ""oa_works_count"": 2, ""cited_by_count"": 75}, {""year"": 2018, ""works_count"": 4, ""oa_works_count"": 4, ""cited_by_count"": 205}, {""year"": 2019, ""works_count"": 5, ""oa_works_count"": 2, ""cited_by_count"": 144}, {""year"": 2020, ""works_count"": 4, ""oa_works_count"": 1, ""cited_by_count"": 111}, {""year"": 2021, ""works_count"": 10, ""oa_works_count"": 1, ""cited_by_count"": 56}, {""year"": 2022, ""works_count"": 4, ""oa_works_count"": 4, ""cited_by_count"": 15}, {""year"": 2023, ""works_count"": 3, ""oa_works_count"": 3, ""cited_by_count"": 45}, {""year"": 2024, ""works_count"": 3, ""oa_works_count"": 3, ""cited_by_count"": 13}, {""year"": 2025, ""works_count"": 6, ""oa_works_count"": 5, ""cited_by_count"": 20}, {""year"": 2026, ""works_count"": 4, ""oa_works_count"": 2, ""cited_by_count"": 1}]",2018,CHI,1
https://openalex.org/A5021296068,Lydia Michie,3,92,"[{""year"": 2017, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 8}, {""year"": 2018, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 84}]",2018,CHI,1
https://openalex.org/A5084538652,Morgan Klaus Scheuerman,50,1802,"[{""year"": 2017, ""works_count"": 2, ""oa_works_count"": 0, ""cited_by_count"": 65}, {""year"": 2018, ""works_count"": 4, ""oa_works_count"": 2, ""cited_by_count"": 445}, {""year"": 2019, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 240}, {""year"": 2020, ""works_count"": 7, ""oa_works_count"": 5, ""cited_by_count"": 319}, {""year"": 2021, ""works_count"": 11, ""oa_works_count"": 8, ""cited_by_count"": 601}, {""year"": 2022, ""works_count"": 3, ""oa_works_count"": 1, ""cited_by_count"": 42}, {""year"": 2023, ""works_count"": 5, ""oa_works_count"": 5, ""cited_by_count"": 41}, {""year"": 2024, ""works_count"": 6, ""oa_works_count"": 5, ""cited_by_count"": 31}, {""year"": 2025, ""works_count"": 6, ""oa_works_count"": 3, ""cited_by_count"": 16}, {""year"": 2026, ""works_count"": 5, ""oa_works_count"": 5, ""cited_by_count"": 2}]",2018,CHI,1
https://openalex.org/A5063697388,Martin Porcheron,57,1577,"[{""year"": 2013, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 1}, {""year"": 2014, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 51}, {""year"": 2015, ""works_count"": 1, ""oa_works_count"": 0, ""cited_by_count"": 1}, {""year"": 2016, ""works_count"": 8, ""oa_works_count"": 7, ""cited_by_count"": 153}, {""year"": 2017, ""works_count"": 2, ""oa_works_count"": 2, ""cited_by_count"": 170}, {""year"": 2018, ""works_count"": 4, ""oa_works_count"": 3, ""cited_by_count"": 751}, {""year"": 2019, ""works_count"": 7, ""oa_works_count"": 6, ""cited_by_count"": 106}, {""year"": 2020, ""works_count"": 7, ""oa_works_count"": 4, ""cited_by_count"": 100}, {""year"": 2021, ""works_count"": 9, ""oa_works_count"": 5, ""cited_by_count"": 67}, {""year"": 2022, ""works_count"": 5, ""oa_works_count"": 4, ""cited_by_count"": 126}, {""year"": 2023, ""works_count"": 8, ""oa_works_count"": 6, ""cited_by_count"": 45}, {""year"": 2024, ""works_count"": 3, ""oa_works_count"": 2, ""cited_by_count"": 6}, {""year"": 2025, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 0}]",2018,CHI,1
https://openalex.org/A5034634435,Ari Schlesinger,6,654,"[{""year"": 2017, ""works_count"": 3, ""oa_works_count"": 2, ""cited_by_count"": 479}, {""year"": 2018, ""works_count"": 2, ""oa_works_count"": 1, ""cited_by_count"": 165}, {""year"": 2022, ""works_count"": 1, ""oa_works_count"": 1, ""cited_by_count"": 10}]",2018,CHI,1
