year,conference,paper_title,paper_url,authors
2018,CHI,Experiencing the Body as Play,https://www.semanticscholar.org/paper/50d76e61ecdf56c118e116cfd16d1cd95031b28f,"Florian 'Floyd' Mueller, RMIT University ; et al. Richard Byrne, RMIT University Josh Andres, RMIT University Rakesh Patibanda, RMIT University"
2018,CHI,Making Core Memory: Design Inquiry into Gendered Legacies of Engineering and Craftwork,https://www.semanticscholar.org/paper/9d4f7b1ff4f1d8a86a7ab3fafd72436ca38a68d0,"Daniela K. Rosner, University of Washington ; et al. Samantha Shorey, University of Washington Brock R. Craft, University of Washington Helen Remick, Independent Researcher"
2018,CHI,Design for Collaborative Survival: An Inquiry into Human-Fungi Relationships,https://www.semanticscholar.org/paper/db9224fce7b76d9955695614429eab39ca9ae2a0,"Jen Liu, University of Colorado Boulder ; et al. Daragh Byrne, Carnegie Mellon University Laura Devendorf, University of Colorado Boulder"
2018,CHI,Design Within a Patriarchal Society: Opportunities and Challenges in Designing for Rural Women in Bangladesh,https://www.semanticscholar.org/paper/7f2ca70618e719bbb50d93dd1e19340603001ee2,"Sharifa Sultana, Cornell University ; et al. François Guimbretière, Cornell University Phoebe Sengers, Cornell University Nicola Dell, Cornell University"
2018,CHI,Hoarding and Minimalism: Tendencies in Digital Data Preservation,https://www.semanticscholar.org/paper/1bf57839a239debf9b9172da18d6dbd34e0f4bf9,"Francesco Vitale, University of British Columbia ; et al. Izabelle Janzen, University of British Columbia Joanna McGrenere, University of British Columbia"
2018,CHI,Extending Manual Drawing Practices with Artist-Centric Programming Tools,https://www.semanticscholar.org/paper/4068b28a0568fc090c2b943057a89461e8f4450e,"Jennifer Jacobs, Massachusetts Institute of Technology ; et al. Joel Brandt, Adobe Radomír Mech, Adobe Mitchel Resnick, Massachusetts Institute of Technology"
2018,ICML,Obfuscated Gradients Give a False Sense of Security: Circumventing Defenses to Adversarial Examples,https://www.semanticscholar.org/paper/651adaa058f821a890f2c5d1053d69eb481a8352,"Anish Athalye, Massachusetts Institute of Technology ; et al. Nicholas Carlini, University of California, Berkeley David Wagner, University of California, Berkeley"
2018,ICML,Delayed Impact of Fair Machine Learning,https://www.semanticscholar.org/paper/4f2baff3195b6fc43a38e3e869496dab9fe9dbc3,"Lydia T. Liu, University of California, Berkeley ; et al. Sarah Dean, University of California, Berkeley Esther Rolf, University of California, Berkeley Max Simchowitz, University of California, Berkeley Moritz Hardt, University of California, Berkeley"
2018,ICSE,Large-Scale Analysis of Framework-Specific Exceptions in Android Apps,https://www.semanticscholar.org/paper/fccad6bc2c2a5bac53adaef3874710e00871b69c,"Lingling Fan, East China Normal University ; et al. Ting Su, Nanyang Technological University Sen Chen, East China Normal University Guozhu Meng, Chinese Academy of Sciences Yang Liu, Nanyang Technological University Lihua Xu, East China Normal University Geguang Pu, East China Normal University Zhendong Su, University of California, Davis"
2018,ICSE,Spatio-Temporal Context Reduction: A Pointer-Analysis-Based Static Approach for Detecting Use-After-Free Vulnerabilities,https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq=Spatio-Temporal+Context+Reduction:+A+Pointer-Analysis-Based+Static+Approach+for+Detecting+Use-After-Free+Vulnerabilities&as_oq=&as_eq=&as_occt=any&as_sauthors=Yan,"Hua Yan, University of New South Wales ; et al. Yulei Sui, University of Technology Sydney Shiping Chen, CSIRO's Data61 Jingling Xue, University of New South Wales"
2018,ICSE,Identifying Design Problems in the Source Code: A Grounded Theory,https://www.semanticscholar.org/paper/3a5b60e2584e3b21fe8a3d8760732dc9a0a85d1e,"Leonardo Sousa, Pontifical Catholic University of Rio de Janeiro ; et al. Anderson Oliveira, Pontifical Catholic University of Rio de Janeiro Willian Oizumi, Pontifical Catholic University of Rio de Janeiro Simone Barbosa, Pontifical Catholic University of Rio de Janeiro Alessandro Garcia, Pontifical Catholic University of Rio de Janeiro Jaejoon Lee, University of Lancaster Marcos Kalinowski, Pontifical Catholic University of Rio de Janeiro Rafael de Mello, Pontifical Catholic University of Rio de Janeiro Baldoino Fonseca, Universidade Federal de Alagoas Roberto Oliveira, Pontifical Catholic University of Rio de Janeiro Carlos Lucena, Pontifical Catholic University of Rio de Janeiro Rodrigo Paes, Pontifical Catholic University of Rio de Janeiro"
2018,ICSE,Static Automated Program Repair for Heap Properties,https://www.semanticscholar.org/paper/87c1cb1764d257d2060ed316cb86e5641ed6afea,"Rijnard van Tonder & Claire Le Goues, Carnegie Mellon University"
2018,ICSE,Automated Localization for Unreproducible Builds,https://www.semanticscholar.org/paper/7d39ec1b78811f959ea7acb9e52967a6b5935f73,"Zhilei Ren, Dalian University of Technology ; et al. He Jiang, Dalian University of Technology Jifeng Xuan, Wuhan University Zijiang Yang, Western Michigan University"
2018,ICSE,Generalized Data Structure Synthesis,https://www.semanticscholar.org/paper/8d15bfc861c2baaaaa13ac3f1aa95d62eaed476d,"Calvin Loncaric, University of Washington ; et al. Michael D. Ernst, University of Washington Emina Torlak, University of Washington"
2018,ICSE,Traceability in the Wild: Automatically Augmenting Incomplete Trace links,https://www.semanticscholar.org/paper/78ef2e17f5b136c15a66a4bcd64875d252d5924b,"Michael Rath, Technical University Ilmenau ; et al. Jacob Rendall, University of Notre Dame Jin L. C. Guo, McGill University Jane Cleland-Huang, University of Notre Dame Patrick Mäder, Technical University Ilmenau"
2018,ICSE,Towards Optimal Concolic Testing,https://www.semanticscholar.org/paper/79f08cd41b8d67a9301ecad456da10e1912a516b,"Xinyu Wang, Zhejiang University ; et al. Jun Sun, Singapore University of Technology and Design Zhenbang Chen, National University of Defense Technology Peixin Zhang, Zhejiang University Jingyi Wang, Singapore University of Technology and Design Yun Lin, National University of Singapore"
2018,NeurIPS,Non-delusional Q-learning and Value-iteration,https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq=Non-delusional+Q-learning+and+Value-iteration&as_oq=&as_eq=&as_occt=any&as_sauthors=Lu,"Tyler Lu, Google ; et al. Dale Schuurmans, Google Craig Boutilier, Google"
2018,NeurIPS,Optimal Algorithms for Non-Smooth Distributed Optimization in Networks,https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq=Optimal+Algorithms+for+Non-Smooth+Distributed+Optimization+in+Networks&as_oq=&as_eq=&as_occt=any&as_sauthors=Scaman,"Kevin Scaman, Huawei ; et al. Francis Bach, Inria Sébastien Bubeck, Microsoft Yin Tat Lee, Microsoft Laurent Massoulié, Inria"
2018,NeurIPS,Nearly Tight Sample Complexity Bounds for Learning Mixtures of Gaussians via Sample Compression Schemes,https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq=Nearly+Tight+Sample+Complexity+Bounds+for+Learning+Mixtures+of+Gaussians+via+Sample+Compression+Schemes&as_oq=&as_eq=&as_occt=any&as_sauthors=Ashtiani,"Hassan Ashtiani, McMaster University ; et al. Shai Ben-David, University of Waterloo Nick Harvey, University of British Columbia Christopher Liaw, University of British Columbia Abbas Mehrabian, McGill University Yaniv Plan, University of British Columbia"
2018,NeurIPS,Neural Ordinary Differential Equations,https://scholar.google.com/scholar?as_q=&num=10&btnG=Search+Scholar&as_epq=Neural+Ordinary+Differential+Equations&as_oq=&as_eq=&as_occt=any&as_sauthors=Chen,"Tian Qi Chen, University of Toronto ; et al. Yulia Rubanova, University of Toronto Jesse Bettencourt, University of Toronto David Duvenaud, University of Toronto"
2018,OSDI,REPT: Reverse Debugging of Failures in Deployed Software,https://www.semanticscholar.org/paper/3a4ab3ad63eb65622c53d74952acea87968ea59d,"Weidong Cui, Microsoft ; et al. Xinyang Ge, Microsoft Baris Kasikci, University of Michigan Ben Niu, Microsoft Upamanyu Sharma, University of Michigan Ruoyu Wang, Arizona State University Insu Yun, Georgia Institute of Technology"
2018,OSDI,"LegoOS: A Disseminated, Distributed OS for Hardware Resource Disaggregation",https://www.semanticscholar.org/paper/7945684818786fcb32cf92bace2566d7d6bc8945,"Yizhou Shan, Purdue University ; et al. Yutong Huang, Purdue University Yilun Chen, Purdue University Yiying Zhang, Purdue University"
2018,OSDI,Orca: Differential Bug Localization in Large-Scale Services,https://www.semanticscholar.org/paper/79e0629cba38895331a9a5ced9082912a5a85d84,"Ranjita Bhagwan, Microsoft ; et al. Rahul Kumar, Microsoft Chandra Sekhar Maddila, Microsoft Adithya Abraham Philip, Microsoft"
2018,PLDI,Program synthesis using conflict-driven learning,https://www.semanticscholar.org/paper/bbe832982b47a6b39904d5abc608a8c2fc10c5ee,"Yu Feng, University of Texas at Austin ; et al. Ruben Martins, Carnegie Mellon University Osbert Bastani, Massachusetts Institute of Technology Isil Dillig, University of Texas at Austin"
2018,PLDI,A data-driven CHC solver,https://www.semanticscholar.org/paper/32230fc3c06679474528fc74fd6cc5e189019bd3,"He Zhu, Galois ; et al. Stephen Magill, Galois Suresh Jagannathan, Purdue University"
